,Jimmy The Bear,El Crimp Adore,Real Mickoy,Little Amelia,Behind Greywalls,Shes The One,Magic Bee,Donald Lane
10-01-2023 18:52:05.851406,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:07.110007,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:08.406023,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:09.655179,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:10.926938,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:12.206542,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:13.424815,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:14.687860,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:15.914008,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:17.287732,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:18.970097,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:20.419316,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:21.614639,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:22.847827,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:24.035606,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:25.262729,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:26.500587,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:27.739075,"(4.4, 7.2, 5.033333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.276190476190475)","(5.0, 8.0, 7.34)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
