,All Inn Aussie,Kaidee Dixie,Be Good Beach,Miss Billy Cargo,Smokin Ziggy,Japanese Black,Aeroplane Lucy,Pepper Sauce
15-12-2022 14:54:31.222820,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 5.872)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 4.030769230769231)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:32.653521,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.165517241379311)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 4.030769230769231)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:33.773154,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 4.030769230769231)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:34.898901,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 4.030769230769231)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:35.997431,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 4.030769230769231)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:37.019843,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 4.030769230769231)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:38.117434,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 4.025)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:39.138365,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:40.129381,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:41.121055,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:42.120350,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:43.145338,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:44.160843,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
15-12-2022 14:54:45.220255,"(2.4, 3.35, 2.5341666666666667)","(4.0, 8.0, 6.117241379310345)","(15.0, 36.0, 24.266666666666666)","(16.0, 38.0, 21.636363636363637)","(71.0, 460.0, 108.88888888888889)","(3.0, 5.0, 3.2325)","(15.0, 34.0, 32.27272727272727)","(11.0, 24.0, 14.90909090909091)"
