,Thunder Pie,Diversify,Thunder Struck,Eadie,Aston Texan,Caveman,Tinker Dan,Spicy Girl
12-01-2023 10:03:57.379483,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:03:58.431507,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:03:59.595634,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:00.701653,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:01.750394,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:02.809415,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:03.857426,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:04.890908,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:05.924540,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:06.929917,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:07.895975,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:08.967581,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:10.002170,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:11.068247,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:12.102817,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:13.141174,"(6.5, 16.0, 9.866666666666667)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:14.185182,"(6.5, 16.0, 14.2)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
12-01-2023 10:04:15.269573,"(6.5, 16.0, 14.2)","(9.0, 18.0, 16.363636363636363)","(9.0, 32.0, 22.880000000000003)","(5.0, 7.8, 6.3)","(13.0, 26.0, 22.77777777777778)","(2.5, 4.0, 3.2444444444444445)","(3.9, 7.0, 4.527272727272727)","(51.0, 280.0, 108.57142857142857)"
