,Ebby Collerson,Levente,Quest For Extra,Court Jester,Local Doll,Wishing You,Miss Blue Fancy,Agera
07-01-2023 09:07:27.638657,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 32.0, 14.0)"
07-01-2023 09:07:28.660058,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 32.0, 14.0)"
07-01-2023 09:07:29.703566,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 32.0, 14.0)"
07-01-2023 09:07:30.831419,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 32.0, 14.0)"
07-01-2023 09:07:31.809331,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 32.0, 14.0)"
07-01-2023 09:07:32.829213,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 32.0, 14.0)"
07-01-2023 09:07:33.870665,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 32.0, 14.0)"
07-01-2023 09:07:34.893005,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 32.0, 14.0)"
07-01-2023 09:07:35.920150,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 32.0, 14.0)"
07-01-2023 09:07:36.881939,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 32.0, 14.0)"
07-01-2023 09:07:37.875174,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 32.0, 14.0)"
07-01-2023 09:07:38.856942,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 32.0, 14.0)"
07-01-2023 09:07:39.873801,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 30.0, 21.25)"
07-01-2023 09:07:40.894467,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 30.0, 21.25)"
07-01-2023 09:07:41.886971,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 30.0, 21.25)"
07-01-2023 09:07:42.895547,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 30.0, 21.25)"
07-01-2023 09:07:43.854327,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.058181818181818)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.8500000000000005)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 30.0, 21.25)"
07-01-2023 09:07:44.854997,"(11.0, 22.0, 11.714285714285714)","(26.0, 90.0, 48.125)","(1.95, 2.74, 2.24)","(21.0, 85.0, 38.57142857142857)","(3.6, 7.4, 6.6923076923076925)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 21.75)","(13.0, 30.0, 21.25)"
07-01-2023 09:07:45.938576,"(11.0, 21.0, 12.2)","(26.0, 90.0, 51.714285714285715)","(1.95, 2.46, 2.051111111111111)","(21.0, 80.0, 60.0)","(3.6, 8.0, 6.3428571428571425)","(4.6, 7.4, 4.816666666666666)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:07:46.941595,"(11.0, 21.0, 12.2)","(26.0, 90.0, 51.714285714285715)","(1.95, 2.46, 2.051111111111111)","(21.0, 80.0, 60.0)","(3.6, 8.0, 6.3428571428571425)","(4.6, 7.4, 4.9)","(14.0, 30.0, 26.6)","(13.0, 30.0, 22.22222222222222)"
07-01-2023 09:07:47.924358,"(11.0, 21.0, 12.2)","(26.0, 90.0, 51.714285714285715)","(1.95, 2.46, 2.051111111111111)","(21.0, 80.0, 60.0)","(3.6, 8.6, 6.531818181818181)","(4.6, 7.4, 4.9)","(14.0, 30.0, 22.0)","(13.0, 30.0, 22.22222222222222)"
