,Ferocious George,Jiminy Terror,Sick Bubblegum,Black Danger,Kubota Girl,Mighty Night,Miss Piccolo,Buckle Up Rigel
0,"[datetime.datetime(2022, 11, 28, 17, 58, 26, 471265), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 26, 471265), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 26, 471265), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 26, 471265), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 26, 471265), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 26, 471265), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 26, 471265), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 26, 471265), 4.8, 11.0]"
1,"[datetime.datetime(2022, 11, 28, 17, 58, 27, 611030), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 27, 611030), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 27, 611030), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 27, 611030), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 27, 611030), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 27, 611030), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 27, 611030), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 27, 611030), 4.8, 11.0]"
2,"[datetime.datetime(2022, 11, 28, 17, 58, 28, 760150), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 28, 760150), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 28, 760150), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 28, 760150), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 28, 760150), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 28, 760150), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 28, 760150), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 28, 760150), 4.8, 11.0]"
3,"[datetime.datetime(2022, 11, 28, 17, 58, 29, 952961), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 29, 952961), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 29, 952961), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 29, 952961), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 29, 952961), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 29, 952961), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 29, 952961), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 29, 952961), 4.8, 11.0]"
4,"[datetime.datetime(2022, 11, 28, 17, 58, 31, 110750), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 31, 110750), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 31, 110750), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 31, 110750), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 31, 110750), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 31, 110750), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 31, 110750), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 31, 110750), 4.8, 11.0]"
5,"[datetime.datetime(2022, 11, 28, 17, 58, 32, 308066), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 32, 308066), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 32, 308066), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 32, 308066), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 32, 308066), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 32, 308066), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 32, 308066), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 32, 308066), 4.8, 11.0]"
6,"[datetime.datetime(2022, 11, 28, 17, 58, 33, 443027), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 33, 443027), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 33, 443027), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 33, 443027), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 33, 443027), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 33, 443027), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 33, 443027), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 33, 443027), 4.8, 11.0]"
7,"[datetime.datetime(2022, 11, 28, 17, 58, 34, 580219), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 34, 580219), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 34, 580219), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 34, 580219), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 34, 580219), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 34, 580219), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 34, 580219), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 34, 580219), 4.8, 11.0]"
8,"[datetime.datetime(2022, 11, 28, 17, 58, 35, 725842), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 35, 725842), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 35, 725842), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 35, 725842), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 35, 725842), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 35, 725842), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 35, 725842), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 35, 725842), 4.8, 11.0]"
9,"[datetime.datetime(2022, 11, 28, 17, 58, 36, 871307), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 36, 871307), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 36, 871307), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 36, 871307), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 36, 871307), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 36, 871307), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 36, 871307), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 36, 871307), 4.8, 11.0]"
10,"[datetime.datetime(2022, 11, 28, 17, 58, 38, 12293), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 38, 12293), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 38, 12293), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 38, 12293), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 38, 12293), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 38, 12293), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 38, 12293), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 38, 12293), 4.8, 11.0]"
11,"[datetime.datetime(2022, 11, 28, 17, 58, 39, 140150), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 39, 140150), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 39, 140150), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 39, 140150), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 39, 140150), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 39, 140150), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 39, 140150), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 39, 140150), 4.8, 11.0]"
12,"[datetime.datetime(2022, 11, 28, 17, 58, 40, 287158), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 40, 287158), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 40, 287158), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 40, 287158), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 40, 287158), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 40, 287158), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 40, 287158), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 40, 287158), 4.8, 11.0]"
13,"[datetime.datetime(2022, 11, 28, 17, 58, 41, 416636), 12.0, 27.0]","[datetime.datetime(2022, 11, 28, 17, 58, 41, 416636), 26.0, 170.0]","[datetime.datetime(2022, 11, 28, 17, 58, 41, 416636), 3.1, 3.7]","[datetime.datetime(2022, 11, 28, 17, 58, 41, 416636), 2.45, 4.0]","[datetime.datetime(2022, 11, 28, 17, 58, 41, 416636), 41.0, 260.0]","[datetime.datetime(2022, 11, 28, 17, 58, 41, 416636), 31.0, 330.0]","[datetime.datetime(2022, 11, 28, 17, 58, 41, 416636), 5.0, 12.5]","[datetime.datetime(2022, 11, 28, 17, 58, 41, 416636), 4.8, 11.0]"
