,List Of Secrets,General Payton,Devon Lass,Magic Lies,Top Faith,Furious Angel,Jax
05-01-2023 15:53:10.255381,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.6)","(7.5, 14.5, 11.25)","(3.1, 3.35, 3.1357142857142857)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:11.533812,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.966666666666667)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:12.839121,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.966666666666667)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:14.003009,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.966666666666667)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:15.189297,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.966666666666667)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:16.292642,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.966666666666667)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:17.404711,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.9941176470588236)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:18.466923,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.9941176470588236)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:19.517561,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:20.471953,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:21.514813,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:22.557840,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
05-01-2023 15:53:23.616311,"(5.5, 8.8, 7.700000000000001)","(6.0, 16.5, 10.53076923076923)","(81.0, 230.0, 205.0)","(3.0, 4.7, 3.842857142857143)","(7.5, 14.5, 11.25)","(3.1, 3.3, 3.12)","(5.5, 9.8, 7.014285714285714)"
