,Emiko,Chief Bronie,Not Today,Zulu Boy,Casual Glance,Sketchy Zara,Fernandos Gal,Murphey
05-01-2023 14:22:49.445250,"(6.0, 19.0, 15.533333333333333)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:22:50.578868,"(6.0, 19.0, 15.600000000000001)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:22:51.718130,"(6.0, 19.0, 15.600000000000001)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:22:52.823836,"(6.0, 19.0, 16.5)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:22:53.915124,"(6.0, 19.0, 16.5)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:22:54.973442,"(6.0, 19.0, 16.5)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:22:56.049556,"(6.0, 19.0, 16.5)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:22:57.091981,"(6.0, 19.0, 16.5)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:22:58.138610,"(6.0, 19.0, 15.23076923076923)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:22:59.163242,"(6.0, 19.0, 15.23076923076923)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:00.174214,"(6.0, 19.0, 15.23076923076923)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
05-01-2023 14:23:01.175440,"(6.0, 19.0, 15.23076923076923)","(101.0, 650.0, 372.5)","(5.0, 8.6, 7.4)","(31.0, 340.0, 152.9230769230769)","(1.45, 2.02, 1.4660215053763441)","(51.0, 440.0, 97.77777777777777)","(19.0, 60.0, 31.636363636363637)","(6.0, 12.0, 9.2)"
