,Whitestarchristian,Bettor Be Lively,Longtan Cassanova,Dont Tell Alice,Shazzam,Uncle Leo,Joonior Brown
12-01-2023 13:28:05.919631,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 16.0)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:06.931747,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 16.0)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:07.959839,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 16.0)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:08.911505,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 16.0)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:09.927663,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 16.0)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:10.926032,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 16.0)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:11.813537,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 16.0)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:12.881184,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 16.0)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:14.018287,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 16.0)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:15.099993,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 16.0)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:16.113347,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 16.0)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:17.245651,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 16.0)","(3.5, 5.7, 5.05)"
12-01-2023 13:28:18.296960,"(2.2, 3.4, 3.1818181818181817)","(10.0, 17.5, 14.733333333333334)","(4.4, 6.6, 5.5)","(31.0, 70.0, 44.666666666666664)","(8.5, 13.0, 10.8)","(12.0, 22.0, 19.75)","(3.5, 5.7, 5.05)"
