,Olsen Gang,Surface,Radley Erskin,Cosmic Journey,Sadie Seahorse,Arctic Blizzard,Willina Charm,Twist And Shake
14-12-2022 13:13:01.637032,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 4.858333333333333)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:03.052573,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 4.858333333333333)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:04.297782,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 4.858333333333333)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:05.434025,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 4.858333333333333)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:06.499911,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:07.637818,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:08.810022,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:10.045758,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:11.436005,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:12.853676,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:14.063143,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:15.363652,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.48125)"
14-12-2022 13:13:16.833829,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:18.041575,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 14.266666666666666)","(7.0, 12.5, 9.85)","(14.0, 30.0, 26.8)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:19.413517,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 8.8)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:20.819768,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
14-12-2022 13:13:22.257889,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:23.725616,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:24.910112,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:26.302869,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:27.579200,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:28.684540,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:29.791255,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:31.174201,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:32.441012,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:33.725859,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:34.894339,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:36.248073,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.2675)"
14-12-2022 13:13:37.529765,"(41.0, 280.0, 105.71428571428571)","(51.0, 380.0, 199.44444444444446)","(4.4, 5.4, 5.025)","(8.5, 17.0, 11.666666666666666)","(7.0, 12.5, 8.675)","(14.0, 30.0, 19.666666666666668)","(5.0, 10.0, 6.866666666666666)","(2.0, 3.1, 2.29)"
