,Major Noah William,Pretty Reason,Dark Side Nz,Happy As,Kimchi,Manhattan Lass,Pocket More For Less Nz,Tackas Last Dance,Cobla Royale
15-12-2022 12:56:30.120896,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:31.398743,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:32.733079,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:33.970358,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:35.219440,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:36.528582,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:37.824786,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:39.143505,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:40.436527,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:41.695092,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:42.951441,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:44.235840,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:45.485203,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:46.658236,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:47.851257,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:49.080506,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:50.321790,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:51.519492,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:52.818412,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:54.081233,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:55.393130,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:56.672361,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:58.062652,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:56:59.289001,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:57:00.494560,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:57:01.986361,"(9.0, 19.0, 15.2)","(6.5, 14.0, 12.7)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 42.0)","(13.0, 29.0, 21.6)","(4.8, 99999, 99990)","(14.0, 32.0, 19.666666666666668)","(6.0, 11.0, 10.2)"
15-12-2022 12:57:03.418547,"(9.0, 19.0, 15.2)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 26.055555555555557)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 11.0, 9.133333333333333)"
15-12-2022 12:57:04.818068,"(9.0, 19.0, 18.4)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 28.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 11.0, 9.133333333333333)"
15-12-2022 12:57:06.240629,"(9.0, 19.0, 18.4)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 11.0, 9.225)"
15-12-2022 12:57:07.738089,"(9.0, 19.0, 18.4)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:09.229305,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:10.697538,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:12.176142,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:13.675462,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:14.921652,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:16.199030,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:17.524749,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:18.832430,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:20.196482,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:21.531399,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:22.837654,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:24.171830,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:25.479485,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:26.814052,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:28.009309,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:29.254265,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:30.494084,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:31.730785,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:32.997374,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 3.2960000000000003)","(26.0, 80.0, 34.4)","(13.0, 29.0, 22.833333333333336)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
15-12-2022 12:57:34.197946,"(9.0, 19.0, 18.66470588235294)","(6.5, 14.0, 13.025)","(41.0, 99999, 99990)","(2.2, 4.0, 2.9942857142857147)","(26.0, 80.0, 34.4)","(13.0, 29.0, 19.0)","(4.8, 99999, 99990)","(14.0, 32.0, 17.2)","(6.0, 10.5, 9.225)"
