,Chi Lin,Big Time Pacman,Big Time Brynley,Big Time Express,Joan Jet,Big Time Foxy,Opawa Andy
16-12-2022 12:39:59.353970,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:00.287404,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:01.214462,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:02.230422,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:03.128678,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:04.042010,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:04.989437,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:05.903199,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:06.836021,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:07.867901,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:08.835813,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:09.740867,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:10.661725,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:11.612107,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:12.619153,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:13.554545,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:14.678275,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:15.713663,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:16.681634,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:17.667688,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 10.8)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:18.652762,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.177777777777777)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:19.669342,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.177777777777777)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:20.591881,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 11.0)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:21.504916,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:22.457158,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:23.399128,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:24.329424,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:25.251082,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:26.200090,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:27.113454,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:28.043366,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:28.964629,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:29.943230,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:30.903411,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 14.460869565217392)"
16-12-2022 12:40:31.942072,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 11.968421052631578)"
16-12-2022 12:40:32.916616,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 9.325)"
16-12-2022 12:40:33.839945,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 9.325)"
16-12-2022 12:40:34.754514,"(20.0, 170.0, 94.0)","(2.2, 2.28, 2.2602469135802465)","(2.25, 4.1, 3.2391304347826084)","(7.5, 15.0, 13.509090909090908)","(31.0, 330.0, 139.71428571428572)","(19.0, 180.0, 100.0)","(7.0, 27.0, 9.325)"
