,Blackwood Echo,My Mate Bluey,Golly Gosh Raja,Talking Raja,Big Joe,Miss Wilder,Tommy Rico
12-01-2023 18:08:04.870212,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:05.986660,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:07.074905,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:08.179172,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:09.288782,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:10.418891,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:11.580831,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:12.714935,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:13.868880,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:15.005819,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:16.198139,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:17.362195,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:18.486206,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:19.664187,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:20.826625,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:21.990617,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:23.160511,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:24.249570,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:25.458374,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:26.614686,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:27.672496,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:28.962330,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
12-01-2023 18:08:30.190184,"(41.0, 310.0, 174.0)","(6.5, 13.0, 10.280000000000001)","(1.5, 2.12, 1.4880555555555555)","(21.0, 80.0, 52.04545454545455)","(20.0, 200.0, 88.78571428571429)","(3.0, 5.1, 3.163448275862069)","(81.0, 580.0, 496.66666666666663)"
