,Disguise,Destini Rebel,Lily Luna Potter,Cement Mixer,Tiger Newly,Thats Rare,Paddy The Baddy,Aston Randal
10-01-2023 14:10:52.807769,"(3.3, 6.8, 4.292)","(8.5, 16.5, 11.64)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.266666666666666)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 5.063768115942029)","(5.5, 9.6, 8.948148148148148)","(10.0, 25.0, 15.88)"
10-01-2023 14:10:53.963908,"(3.3, 6.8, 4.292)","(8.5, 16.5, 11.64)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.266666666666666)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 5.063768115942029)","(5.5, 9.6, 8.948148148148148)","(10.0, 25.0, 15.88)"
10-01-2023 14:10:55.124160,"(3.3, 6.8, 4.292)","(8.5, 16.5, 11.64)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.266666666666666)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 5.063768115942029)","(5.5, 9.6, 8.948148148148148)","(10.0, 25.0, 15.88)"
10-01-2023 14:10:56.176854,"(3.3, 6.8, 4.292)","(8.5, 16.5, 11.64)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.266666666666666)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 5.063768115942029)","(5.5, 9.6, 8.948148148148148)","(10.0, 25.0, 15.88)"
10-01-2023 14:10:57.241101,"(3.3, 6.8, 4.292)","(8.5, 16.5, 11.64)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.266666666666666)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 5.063768115942029)","(5.5, 9.6, 8.948148148148148)","(10.0, 25.0, 15.88)"
10-01-2023 14:10:58.299763,"(3.3, 6.8, 4.292)","(8.5, 16.5, 11.64)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 5.063768115942029)","(5.5, 9.6, 8.948148148148148)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:10:59.408336,"(3.3, 6.8, 4.292)","(8.5, 16.5, 9.728571428571428)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 4.81875)","(5.5, 9.6, 8.948148148148148)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:00.548881,"(3.3, 6.8, 4.292)","(8.5, 16.5, 9.728571428571428)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 4.81875)","(5.5, 9.6, 8.948148148148148)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:01.660487,"(3.3, 6.8, 4.292)","(8.5, 16.5, 9.728571428571428)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 4.81875)","(5.5, 9.6, 8.948148148148148)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:02.771120,"(3.3, 6.8, 4.292)","(8.5, 16.5, 9.728571428571428)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 4.81875)","(5.5, 9.6, 8.948148148148148)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:03.811292,"(3.3, 6.8, 4.292)","(8.5, 16.5, 9.728571428571428)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 4.81875)","(5.5, 9.6, 9.888461538461538)","(10.0, 25.0, 16.70909090909091)"
10-01-2023 14:11:04.931165,"(3.3, 6.8, 4.292)","(8.5, 16.0, 9.657142857142857)","(6.0, 11.0, 8.814285714285715)","(8.5, 17.0, 14.657142857142857)","(6.0, 12.5, 7.833333333333334)","(4.6, 5.1, 4.81875)","(5.5, 10.5, 9.888461538461538)","(10.0, 25.0, 16.70909090909091)"
