,Erupting Avatar,Liberty Royal,Wagtail Demon,Emmas Image,Leo Giblet,Hillbilly Joker,Afro Puff,Reel It In
15-12-2022 13:09:01.263683,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.3)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.083333333333334)","(13.0, 38.0, 18.0)","(15.0, 38.0, 27.791666666666664)"
15-12-2022 13:09:02.876909,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.3)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.083333333333334)","(13.0, 38.0, 18.0)","(15.0, 38.0, 27.791666666666664)"
15-12-2022 13:09:04.301153,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.3)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.083333333333334)","(13.0, 38.0, 18.0)","(15.0, 38.0, 27.791666666666664)"
15-12-2022 13:09:05.563890,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.3)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.083333333333334)","(13.0, 38.0, 18.0)","(15.0, 38.0, 27.791666666666664)"
15-12-2022 13:09:06.918546,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.3)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.083333333333334)","(13.0, 38.0, 18.0)","(15.0, 38.0, 27.791666666666664)"
15-12-2022 13:09:08.453226,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.3)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 21.6875)","(13.0, 38.0, 18.0)","(15.0, 38.0, 27.791666666666664)"
15-12-2022 13:09:09.940095,"(6.5, 11.5, 9.05)","(5.0, 9.8, 9.33)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 13.25)","(13.0, 38.0, 17.166666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:11.538901,"(6.5, 11.5, 9.05)","(5.0, 9.8, 9.408333333333335)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 21.6875)","(13.0, 38.0, 28.892857142857142)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:12.962850,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:14.282049,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:15.750110,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:17.166456,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:18.470577,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:19.713103,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:21.097476,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
15-12-2022 13:09:22.413513,"(6.5, 11.5, 9.05)","(5.0, 9.8, 8.333333333333334)","(2.6, 3.2, 2.6164705882352943)","(6.5, 9.8, 8.733333333333334)","(5.5, 9.8, 8.3)","(9.0, 27.0, 14.5)","(13.0, 38.0, 18.416666666666668)","(15.0, 38.0, 26.863636363636363)"
