,Love My Key,Terrific Janine,Agera,Levente,Local Doll,Potch,Copy Cat,Quest For Extra
12-01-2023 17:40:34.523889,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 111.66666666666667)","(7.5, 18.5, 13.149999999999999)","(7.5, 16.0, 11.1)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:35.568207,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 111.66666666666667)","(7.5, 18.5, 13.149999999999999)","(7.5, 16.0, 11.1)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:36.667053,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 11.285714285714286)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:37.821173,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 11.285714285714286)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:39.051904,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 12.777777777777779)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:40.286269,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 12.777777777777779)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:41.505999,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 12.444444444444445)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:42.627349,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 12.444444444444445)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:43.762099,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:44.980791,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:46.211961,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:47.362279,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:48.537124,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:49.565737,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
12-01-2023 17:40:50.741396,"(13.0, 34.0, 29.0)","(10.0, 20.0, 16.764705882352942)","(9.0, 19.5, 14.545454545454545)","(51.0, 440.0, 223.33333333333334)","(7.5, 18.5, 15.09375)","(7.5, 16.0, 11.036363636363635)","(10.0, 24.0, 20.5)","(1.55, 1.82, 1.7610526315789474)"
