,Off Beat,Atomic Hope,Shes So Cosmic,Counter Proposal,Little Hercules,Chase Me Lady,Last Date,Rosas Legend
14-12-2022 18:44:16.251225,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 80.0, 44.705882352941174)","(11.0, 25.0, 21.77777777777778)","(31.0, 160.0, 48.0)","(3.4, 6.0, 3.5444444444444443)"
14-12-2022 18:44:17.204912,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 80.0, 44.705882352941174)","(11.0, 25.0, 21.77777777777778)","(31.0, 160.0, 48.0)","(3.4, 6.0, 3.5444444444444443)"
14-12-2022 18:44:18.326147,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 70.0, 64.0)","(11.0, 24.0, 20.285714285714285)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.6)"
14-12-2022 18:44:19.294745,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 70.0, 64.0)","(11.0, 24.0, 15.666666666666668)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.6)"
14-12-2022 18:44:20.475142,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 4.65)","(21.0, 70.0, 64.0)","(11.0, 24.0, 15.666666666666668)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.6)"
14-12-2022 18:44:21.628745,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 70.0, 64.0)","(11.0, 24.0, 15.666666666666668)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.6)"
14-12-2022 18:44:22.624705,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 70.0, 64.0)","(11.0, 24.0, 15.666666666666668)","(31.0, 160.0, 48.0)","(3.4, 5.8, 5.199999999999999)"
14-12-2022 18:44:23.594510,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 70.0, 64.0)","(11.0, 24.0, 15.666666666666668)","(31.0, 160.0, 48.0)","(3.4, 5.8, 5.199999999999999)"
14-12-2022 18:44:24.576840,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 70.0, 64.0)","(11.0, 24.0, 15.666666666666668)","(31.0, 160.0, 48.0)","(3.4, 5.8, 5.199999999999999)"
14-12-2022 18:44:25.578956,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 70.0, 64.0)","(11.0, 24.0, 15.666666666666668)","(31.0, 160.0, 48.0)","(3.4, 5.8, 5.199999999999999)"
14-12-2022 18:44:26.569009,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 70.0, 64.0)","(11.0, 24.0, 15.666666666666668)","(31.0, 160.0, 48.0)","(3.4, 5.8, 5.199999999999999)"
14-12-2022 18:44:27.527365,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 70.0, 64.0)","(11.0, 24.0, 20.875)","(31.0, 160.0, 48.0)","(3.4, 5.8, 5.199999999999999)"
14-12-2022 18:44:28.509854,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 70.0, 64.0)","(11.0, 24.0, 19.2)","(31.0, 160.0, 48.0)","(3.4, 5.8, 5.50625)"
14-12-2022 18:44:29.475340,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 70.0, 64.0)","(11.0, 24.0, 19.2)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:30.423094,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9)","(21.0, 70.0, 64.0)","(11.0, 24.0, 19.2)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:31.631052,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.7, 3.9333333333333336)","(21.0, 70.0, 64.0)","(11.0, 24.0, 19.2)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:32.633916,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.6, 4.6)","(21.0, 70.0, 64.0)","(11.0, 24.0, 19.2)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:33.605773,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.5, 4.55)","(21.0, 70.0, 64.0)","(11.0, 24.0, 19.2)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:34.578621,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(14.0, 34.0, 21.333333333333332)","(3.5, 5.5, 4.55)","(21.0, 70.0, 64.0)","(11.0, 24.0, 19.2)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:35.550534,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(15.0, 34.0, 21.333333333333332)","(3.5, 5.5, 4.55)","(21.0, 70.0, 64.0)","(11.0, 24.0, 19.2)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:36.553418,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(15.0, 34.0, 21.333333333333332)","(3.5, 5.5, 4.55)","(21.0, 70.0, 64.0)","(11.0, 24.0, 19.2)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:37.546304,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(15.0, 34.0, 21.333333333333332)","(3.5, 5.5, 4.55)","(21.0, 70.0, 64.0)","(11.0, 24.0, 19.2)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:38.508812,"(6.0, 12.5, 10.533333333333333)","(3.0, 4.7, 3.2533333333333334)","(15.0, 34.0, 21.333333333333332)","(3.5, 5.5, 4.55)","(21.0, 70.0, 64.0)","(11.0, 24.0, 19.2)","(31.0, 160.0, 103.11111111111111)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:39.641625,"(6.0, 12.5, 11.188888888888888)","(3.0, 4.7, 3.2411764705882353)","(15.0, 34.0, 26.2)","(3.5, 5.5, 4.55)","(21.0, 70.0, 65.19999999999999)","(11.0, 24.0, 19.2)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:40.612513,"(6.0, 12.5, 11.188888888888888)","(3.0, 4.7, 3.2411764705882353)","(15.0, 34.0, 30.1)","(3.5, 5.5, 4.55)","(21.0, 70.0, 65.19999999999999)","(11.0, 24.0, 19.2)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:41.736626,"(6.0, 12.5, 11.188888888888888)","(3.0, 4.7, 3.2411764705882353)","(15.0, 34.0, 30.1)","(3.5, 5.5, 4.55)","(21.0, 70.0, 65.19999999999999)","(11.0, 24.0, 21.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:42.745252,"(6.0, 12.5, 10.041666666666666)","(3.0, 4.5, 3.825)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 65.19999999999999)","(11.0, 24.0, 21.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:43.947303,"(6.0, 12.5, 10.041666666666666)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.599999999999994)","(11.0, 24.0, 18.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:44.937445,"(6.0, 12.5, 7.75)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.599999999999994)","(11.0, 29.0, 18.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:45.904663,"(6.0, 12.5, 7.75)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.599999999999994)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:46.891869,"(6.0, 12.5, 7.75)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.599999999999994)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:47.981950,"(6.0, 12.5, 9.0625)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.599999999999994)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:48.981517,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.599999999999994)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:50.002325,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.599999999999994)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:51.019843,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.599999999999994)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:52.015905,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.599999999999994)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:52.962989,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.599999999999994)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:53.936189,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.368421052631575)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:54.892339,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.25)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.368421052631575)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:55.874561,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 26.933333333333334)","(3.5, 5.5, 4.55)","(21.0, 70.0, 43.368421052631575)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:56.874654,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 20.8)","(3.5, 5.5, 4.55)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 4.65)"
14-12-2022 18:44:57.899655,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.46666666666667)","(3.5, 5.5, 4.55)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 3.96)"
14-12-2022 18:44:59.041012,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.46666666666667)","(3.5, 5.5, 4.55)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 3.96)"
14-12-2022 18:45:00.107970,"(6.0, 12.5, 8.083333333333334)","(3.0, 4.5, 3.2624999999999997)","(15.0, 40.0, 27.46666666666667)","(3.5, 5.5, 4.55)","(21.0, 70.0, 44.7)","(11.0, 28.0, 24.0)","(31.0, 160.0, 48.0)","(3.4, 5.8, 3.709090909090909)"
