,Jelly Bean Jojo,Smokin Charlie,Special Talent,Silver Brute,Zella Bale
11-01-2023 20:47:54.548447,"(3.5, 5.3, 5.0)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.66, 1.542)","(6.0, 12.0, 7.5)"
11-01-2023 20:47:55.594458,"(3.5, 5.3, 5.0)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.65, 1.605)","(6.0, 12.0, 7.5)"
11-01-2023 20:47:56.686167,"(3.5, 5.3, 4.9)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.62, 1.605)","(6.0, 12.0, 9.3)"
11-01-2023 20:47:57.703020,"(3.5, 5.3, 4.966666666666667)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.62, 1.59)","(6.0, 12.0, 9.3)"
11-01-2023 20:47:58.609918,"(3.5, 5.3, 4.966666666666667)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.62, 1.59)","(6.0, 12.0, 9.3)"
11-01-2023 20:47:59.621025,"(3.5, 5.3, 5.042857142857143)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.62, 1.59)","(6.0, 12.0, 8.4)"
11-01-2023 20:48:00.618378,"(3.5, 5.3, 4.85)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.62, 1.59)","(6.0, 12.0, 8.4)"
11-01-2023 20:48:01.614936,"(3.5, 5.3, 4.85)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.62, 1.6162500000000002)","(6.0, 12.0, 8.5)"
11-01-2023 20:48:02.605259,"(3.5, 4.5, 4.426530612244898)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.62, 1.618125)","(6.0, 12.0, 8.5)"
11-01-2023 20:48:03.624866,"(3.5, 4.5, 4.431372549019608)","(13.0, 28.0, 26.3125)","(20.0, 55.0, 35.30769230769231)","(1.5, 1.62, 1.618125)","(6.0, 12.0, 8.5)"
