,Fun Idol,Burn Rate,Dr Bella,Dan Dan,Dr Rogan,Phelan Seedy,Down Under Boy,Superb
14-12-2022 19:09:49.704950,"(3.8, 5.8, 4.75)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 28.0, 26.583333333333336)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:09:50.830407,"(3.8, 5.8, 4.75)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 28.0, 26.583333333333336)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:09:51.919042,"(3.8, 5.8, 4.75)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 28.0, 26.583333333333336)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:09:52.969078,"(3.8, 5.8, 4.75)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 28.0, 26.583333333333336)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:09:54.049844,"(3.8, 5.8, 4.75)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 28.0, 26.583333333333336)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:09:55.122330,"(3.8, 5.8, 4.75)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 28.0, 26.583333333333336)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:09:56.158875,"(3.8, 5.8, 4.75)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 28.0, 26.583333333333336)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:09:57.201823,"(3.8, 5.8, 4.75)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 28.0, 26.583333333333336)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:09:58.252954,"(3.8, 5.8, 4.75)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 28.0, 26.583333333333336)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:09:59.366671,"(3.8, 5.8, 4.75)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 28.0, 26.583333333333336)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:00.479036,"(3.8, 5.7, 4.7)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:01.534425,"(3.8, 5.7, 4.7)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:02.636462,"(3.8, 5.7, 4.7)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:03.762479,"(3.8, 5.7, 5.422641509433962)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:04.811677,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:05.883988,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:06.956208,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
14-12-2022 19:10:08.092962,"(3.8, 5.7, 4.743333333333333)","(3.5, 6.8, 5.301315789473684)","(26.0, 95.0, 50.0)","(5.0, 11.0, 6.65)","(7.5, 15.0, 13.796)","(13.0, 27.0, 25.666666666666664)","(3.4, 5.5, 4.507352941176471)","(26.0, 110.0, 55.625)"
