,Osterberg,Radiant Knight,Raw Impact,Razzama,Sukhbir,To Dubawi Stay,De Lovely Lad,The Hulkbuster,Vardon,Elite Quality
10,"[datetime.datetime(2022, 11, 28, 14, 7, 8, 591203), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 8, 591203), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 8, 591203), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 8, 591203), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 8, 591203), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 8, 591203), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 8, 591203), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 8, 591203), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 8, 591203), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 8, 591203), 4.6, 6.2]"
11,"[datetime.datetime(2022, 11, 28, 14, 7, 9, 753084), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 9, 753084), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 9, 753084), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 9, 753084), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 9, 753084), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 9, 753084), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 9, 753084), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 9, 753084), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 9, 753084), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 9, 753084), 4.6, 6.2]"
12,"[datetime.datetime(2022, 11, 28, 14, 7, 10, 906371), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 10, 906371), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 10, 906371), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 10, 906371), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 10, 906371), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 10, 906371), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 10, 906371), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 10, 906371), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 10, 906371), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 10, 906371), 4.6, 6.2]"
13,"[datetime.datetime(2022, 11, 28, 14, 7, 12, 56704), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 12, 56704), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 12, 56704), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 12, 56704), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 12, 56704), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 12, 56704), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 12, 56704), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 12, 56704), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 12, 56704), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 12, 56704), 4.6, 6.2]"
14,"[datetime.datetime(2022, 11, 28, 14, 7, 13, 211015), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 13, 211015), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 13, 211015), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 13, 211015), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 13, 211015), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 13, 211015), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 13, 211015), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 13, 211015), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 13, 211015), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 13, 211015), 4.6, 6.2]"
15,"[datetime.datetime(2022, 11, 28, 14, 7, 14, 360430), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 14, 360430), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 14, 360430), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 14, 360430), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 14, 360430), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 14, 360430), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 14, 360430), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 14, 360430), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 14, 360430), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 14, 360430), 4.6, 6.2]"
16,"[datetime.datetime(2022, 11, 28, 14, 7, 15, 514642), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 15, 514642), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 15, 514642), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 15, 514642), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 15, 514642), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 15, 514642), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 15, 514642), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 15, 514642), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 15, 514642), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 15, 514642), 4.6, 6.2]"
17,"[datetime.datetime(2022, 11, 28, 14, 7, 16, 662616), 2.7, 3.5]","[datetime.datetime(2022, 11, 28, 14, 7, 16, 662616), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 16, 662616), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 16, 662616), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 16, 662616), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 16, 662616), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 16, 662616), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 16, 662616), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 16, 662616), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 16, 662616), 4.6, 6.2]"
18,"[datetime.datetime(2022, 11, 28, 14, 7, 17, 820290), 2.7, 3.6]","[datetime.datetime(2022, 11, 28, 14, 7, 17, 820290), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 17, 820290), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 17, 820290), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 17, 820290), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 17, 820290), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 17, 820290), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 17, 820290), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 17, 820290), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 17, 820290), 4.6, 6.4]"
19,"[datetime.datetime(2022, 11, 28, 14, 7, 18, 970245), 2.7, 3.6]","[datetime.datetime(2022, 11, 28, 14, 7, 18, 970245), 3.9, 4.8]","[datetime.datetime(2022, 11, 28, 14, 7, 18, 970245), 20.0, 65.0]","[datetime.datetime(2022, 11, 28, 14, 7, 18, 970245), 10.0, 12.5]","[datetime.datetime(2022, 11, 28, 14, 7, 18, 970245), 17.0, 44.0]","[datetime.datetime(2022, 11, 28, 14, 7, 18, 970245), 101.0, 630.0]","[datetime.datetime(2022, 11, 28, 14, 7, 18, 970245), 13.0, 16.0]","[datetime.datetime(2022, 11, 28, 14, 7, 18, 970245), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 14, 7, 18, 970245), 17.0, 34.0]","[datetime.datetime(2022, 11, 28, 14, 7, 18, 970245), 4.6, 6.4]"
