,Blount County,Royston Head,Your Not The Boss,Cab Perrio,Kirrek,Let There Be Peace,Tequila Shots,Theclan
10-01-2023 11:57:50.283602,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.256857142857143)","(4.2, 5.4, 5.272093023255814)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.4)","(21.0, 70.0, 64.8)","(15.0, 23.0, 21.142857142857142)","(8.5, 11.5, 10.1875)"
10-01-2023 11:57:51.377719,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.256857142857143)","(4.2, 5.4, 5.272093023255814)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.4)","(21.0, 70.0, 64.8)","(15.0, 23.0, 21.142857142857142)","(8.5, 11.5, 10.1875)"
10-01-2023 11:57:52.616590,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.256857142857143)","(4.2, 5.4, 5.272093023255814)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.4)","(21.0, 70.0, 64.8)","(15.0, 23.0, 21.142857142857142)","(8.5, 11.5, 10.1875)"
10-01-2023 11:57:53.748187,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.256857142857143)","(4.2, 5.4, 5.272093023255814)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.4)","(21.0, 70.0, 64.8)","(15.0, 23.0, 22.235294117647058)","(8.5, 11.5, 10.1875)"
10-01-2023 11:57:54.816041,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2215584415584417)","(4.2, 5.4, 5.05625)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.4)","(21.0, 70.0, 64.8)","(15.0, 23.0, 22.235294117647058)","(8.5, 11.5, 10.1875)"
10-01-2023 11:57:55.944536,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2215584415584417)","(4.2, 5.4, 5.05625)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.4)","(21.0, 70.0, 62.0)","(15.0, 23.0, 22.235294117647058)","(8.5, 11.5, 10.1875)"
10-01-2023 11:57:57.367946,"(12.0, 17.0, 16.525)","(2.0, 2.28, 2.2457142857142856)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.4)","(21.0, 70.0, 62.0)","(15.0, 23.0, 22.235294117647058)","(8.5, 11.5, 10.1875)"
10-01-2023 11:57:58.497461,"(12.0, 17.0, 16.525)","(2.0, 2.28, 2.2457142857142856)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.4)","(21.0, 70.0, 62.0)","(15.0, 23.0, 22.235294117647058)","(8.5, 11.5, 10.1875)"
10-01-2023 11:57:59.583705,"(12.0, 17.0, 16.525)","(2.0, 2.28, 2.2457142857142856)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.4)","(21.0, 70.0, 62.0)","(15.0, 23.0, 22.235294117647058)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:00.675179,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2215584415584417)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.4)","(21.0, 70.0, 62.0)","(15.0, 23.0, 22.235294117647058)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:01.767103,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2215584415584417)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.4)","(21.0, 70.0, 62.0)","(15.0, 23.0, 22.235294117647058)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:02.936340,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2215584415584417)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.4)","(21.0, 70.0, 62.0)","(15.0, 23.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:04.057391,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2215584415584417)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.3)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:05.186052,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2215584415584417)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.3)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:06.630326,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2215584415584417)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.3)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:07.927318,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2691836734693878)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.8, 9.3)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:09.129319,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2691836734693878)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 9.288888888888888)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:10.236595,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2691836734693878)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 9.288888888888888)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
10-01-2023 11:58:11.389356,"(12.0, 17.0, 16.525)","(2.0, 2.3, 2.2691836734693878)","(4.2, 5.4, 4.941666666666667)","(12.0, 20.0, 19.545454545454547)","(6.0, 9.6, 9.288888888888888)","(21.0, 70.0, 62.0)","(15.0, 22.0, 21.352941176470587)","(8.5, 11.5, 10.1875)"
