,Amen Brother,Bia Tinne,Burrandana,Open Sky,Take On Manhattan,The Big Shamrock,Toro Magic,Brave Image,County Kilkenny,Mo Chara,Sonny Fella
05-01-2023 12:37:12.544944,"(7.5, 9.2, 8.063157894736841)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.5, 11.222222222222221)","(21.0, 75.0, 62.0)","(21.0, 110.0, 65.5)","(101.0, 200.0, 147.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 10.075)","(15.0, 32.0, 22.9)","(18.0, 80.0, 39.0)"
05-01-2023 12:37:14.248406,"(7.5, 9.2, 8.436363636363636)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.5, 11.222222222222221)","(21.0, 75.0, 62.0)","(21.0, 110.0, 65.5)","(101.0, 200.0, 147.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 10.075)","(15.0, 32.0, 22.9)","(18.0, 80.0, 39.0)"
05-01-2023 12:37:15.979569,"(7.5, 9.2, 8.33103448275862)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.5, 11.222222222222221)","(21.0, 75.0, 62.0)","(21.0, 110.0, 65.5)","(101.0, 200.0, 147.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 10.075)","(15.0, 32.0, 22.9)","(18.0, 80.0, 39.0)"
05-01-2023 12:37:17.684270,"(7.5, 9.2, 8.33103448275862)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.5, 11.222222222222221)","(21.0, 75.0, 62.0)","(21.0, 110.0, 65.5)","(101.0, 200.0, 147.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.9)","(18.0, 80.0, 39.0)"
05-01-2023 12:37:19.347778,"(7.5, 9.2, 8.33103448275862)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.5, 11.222222222222221)","(21.0, 75.0, 62.0)","(21.0, 110.0, 65.5)","(101.0, 200.0, 147.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.9)","(18.0, 80.0, 39.0)"
05-01-2023 12:37:21.042062,"(7.5, 9.2, 8.436363636363636)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.5, 10.777777777777779)","(21.0, 75.0, 61.63636363636363)","(21.0, 110.0, 65.5)","(101.0, 200.0, 142.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.9)","(18.0, 80.0, 39.0)"
05-01-2023 12:37:22.667513,"(7.5, 9.2, 8.436363636363636)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.63636363636363)","(21.0, 110.0, 65.5)","(101.0, 190.0, 142.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.9)","(18.0, 80.0, 39.0)"
05-01-2023 12:37:24.225170,"(7.5, 9.2, 8.33103448275862)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 61.63636363636363)","(21.0, 110.0, 65.5)","(101.0, 190.0, 142.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.9)","(18.0, 80.0, 39.0)"
05-01-2023 12:37:25.774140,"(7.5, 9.2, 8.33103448275862)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 58.75)","(21.0, 110.0, 66.0)","(101.0, 190.0, 142.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.27777777777778)","(18.0, 80.0, 69.75)"
05-01-2023 12:37:27.304599,"(7.5, 9.2, 8.33103448275862)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 58.75)","(21.0, 110.0, 84.85714285714286)","(101.0, 190.0, 142.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.27777777777778)","(18.0, 80.0, 55.599999999999994)"
05-01-2023 12:37:28.848464,"(7.5, 9.2, 8.33103448275862)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 58.75)","(21.0, 110.0, 84.85714285714286)","(101.0, 190.0, 142.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.27777777777778)","(18.0, 80.0, 55.599999999999994)"
05-01-2023 12:37:30.361377,"(7.5, 9.2, 8.469565217391304)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 58.75)","(21.0, 110.0, 84.85714285714286)","(101.0, 190.0, 142.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.27777777777778)","(18.0, 80.0, 55.599999999999994)"
05-01-2023 12:37:31.823838,"(7.5, 9.2, 8.469565217391304)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 58.75)","(21.0, 110.0, 92.2)","(101.0, 190.0, 142.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.27777777777778)","(18.0, 80.0, 55.599999999999994)"
05-01-2023 12:37:33.323941,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 58.75)","(21.0, 100.0, 92.2)","(101.0, 190.0, 142.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.27777777777778)","(18.0, 80.0, 55.599999999999994)"
05-01-2023 12:37:34.801245,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 58.75)","(21.0, 100.0, 92.2)","(101.0, 190.0, 142.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.27777777777778)","(18.0, 80.0, 55.599999999999994)"
05-01-2023 12:37:36.416215,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.752631578947368)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 56.857142857142854)","(21.0, 100.0, 92.2)","(101.0, 190.0, 137.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.225000000000001)","(15.0, 32.0, 22.27777777777778)","(18.0, 80.0, 55.599999999999994)"
05-01-2023 12:37:38.012170,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 64.88888888888889)","(21.0, 100.0, 93.58333333333334)","(101.0, 180.0, 137.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.27777777777778)","(18.0, 80.0, 68.9090909090909)"
05-01-2023 12:37:39.644347,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 64.88888888888889)","(21.0, 100.0, 93.58333333333334)","(101.0, 180.0, 137.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.27777777777778)","(18.0, 80.0, 68.9090909090909)"
05-01-2023 12:37:41.285496,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 64.88888888888889)","(21.0, 100.0, 93.58333333333334)","(101.0, 180.0, 137.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.27777777777778)","(18.0, 80.0, 68.9090909090909)"
05-01-2023 12:37:42.954239,"(7.5, 8.8, 8.447058823529412)","(7.0, 9.2, 8.719999999999999)","(4.2, 5.1, 4.776470588235294)","(8.5, 11.0, 10.777777777777779)","(21.0, 70.0, 64.88888888888889)","(21.0, 100.0, 93.58333333333334)","(101.0, 180.0, 137.5)","(3.5, 4.9, 4.3428571428571425)","(7.0, 10.5, 9.65)","(15.0, 32.0, 22.27777777777778)","(18.0, 80.0, 68.9090909090909)"
