,Ride On Beauty,K K Can,Lunar Prayer,Salty Saul,Black Panda,Bet The Queen,Grams Gal,Shania Sea,Lady Licious
12-01-2023 11:24:18.538550,"(1.01, 99999, 99990)","(5.5, 7.2, 6.45)","(5.0, 6.0, 5.653846153846154)","(12.0, 15.0, 12.98181818181818)","(2.9, 3.2, 2.9783333333333335)","(6.5, 9.0, 6.666666666666667)","(20.0, 85.0, 51.5)","(6.0, 99999, 99990)","(8.5, 14.0, 12.984615384615385)"
12-01-2023 11:24:19.727443,"(1.01, 99999, 99990)","(5.5, 7.2, 6.45)","(5.0, 6.0, 5.653846153846154)","(12.0, 15.0, 12.98181818181818)","(2.9, 3.2, 2.9783333333333335)","(6.5, 9.0, 6.666666666666667)","(20.0, 85.0, 51.5)","(6.0, 99999, 99990)","(8.5, 14.0, 12.984615384615385)"
12-01-2023 11:24:20.913684,"(1.01, 99999, 99990)","(5.5, 7.2, 6.45)","(5.0, 6.2, 5.633333333333333)","(12.0, 15.0, 12.98181818181818)","(2.9, 3.2, 2.934)","(6.5, 9.0, 6.666666666666667)","(20.0, 85.0, 51.5)","(6.0, 99999, 99990)","(8.5, 14.0, 12.984615384615385)"
12-01-2023 11:24:22.049691,"(1.01, 99999, 99990)","(5.5, 7.2, 6.45)","(5.0, 6.2, 5.633333333333333)","(12.0, 15.0, 12.98181818181818)","(2.9, 3.2, 2.934)","(6.5, 9.0, 6.666666666666667)","(20.0, 85.0, 40.33333333333333)","(6.0, 99999, 99990)","(8.5, 14.0, 12.984615384615385)"
12-01-2023 11:24:23.264960,"(1.01, 99999, 99990)","(5.5, 7.2, 6.45)","(5.0, 6.2, 5.633333333333333)","(12.0, 15.0, 12.98181818181818)","(2.9, 3.2, 2.934)","(6.5, 9.0, 6.666666666666667)","(20.0, 85.0, 27.57142857142857)","(6.0, 99999, 99990)","(8.5, 14.0, 12.984615384615385)"
12-01-2023 11:24:24.448394,"(1.01, 99999, 99990)","(5.5, 7.2, 6.45)","(5.0, 6.2, 5.394736842105264)","(12.0, 15.0, 12.98181818181818)","(2.9, 3.2, 2.934)","(6.5, 9.0, 6.666666666666667)","(20.0, 85.0, 27.57142857142857)","(6.0, 99999, 99990)","(8.5, 14.0, 12.984615384615385)"
12-01-2023 11:24:25.658367,"(1.01, 99999, 99990)","(5.5, 7.2, 6.45)","(5.0, 6.0, 5.035714285714286)","(12.0, 15.0, 12.98181818181818)","(2.9, 3.2, 2.934)","(6.5, 9.0, 6.666666666666667)","(20.0, 85.0, 27.57142857142857)","(6.0, 99999, 99990)","(8.5, 14.0, 12.984615384615385)"
12-01-2023 11:24:26.854953,"(1.01, 99999, 99990)","(5.5, 7.2, 6.45)","(5.0, 5.9, 5.2)","(12.0, 15.0, 12.98181818181818)","(2.9, 3.2, 2.934)","(6.5, 9.0, 6.666666666666667)","(20.0, 85.0, 27.57142857142857)","(6.0, 99999, 99990)","(8.5, 14.0, 12.984615384615385)"
12-01-2023 11:24:27.897926,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 5.9, 5.2)","(11.0, 15.0, 12.98181818181818)","(2.5, 3.2, 2.934)","(6.0, 9.0, 6.666666666666667)","(17.0, 85.0, 27.57142857142857)","(1.01, 99999, 99990)","(7.5, 14.0, 12.984615384615385)"
12-01-2023 11:24:29.027134,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 5.9, 5.2)","(11.0, 15.0, 12.98181818181818)","(2.5, 3.2, 2.934)","(6.0, 9.0, 7.763636363636364)","(17.0, 85.0, 27.57142857142857)","(1.01, 99999, 99990)","(7.5, 14.0, 12.984615384615385)"
12-01-2023 11:24:30.144390,"(1.01, 99999, 99990)","(5.0, 7.2, 6.45)","(4.6, 5.7, 5.1)","(11.0, 15.0, 12.98181818181818)","(2.5, 3.2, 2.934)","(6.0, 9.0, 8.174193548387096)","(17.0, 85.0, 28.0)","(1.01, 99999, 99990)","(7.5, 14.0, 12.984615384615385)"
