,Freddy Mac,Vested Interest,Shalily,Son Of Bielski,Red Stiletto,Langworthy,Five Ounce,Ruby Edition,Barossa Kiss,Keck,Sarwatte
10-01-2023 14:13:29.489230,"(3.8, 5.5, 4.915)","(3.2, 4.4, 4.08)","(4.4, 5.4, 5.375757575757576)","(9.0, 13.0, 11.772727272727273)","(11.0, 15.5, 15.326923076923077)","(13.0, 20.0, 18.285714285714285)","(7.5, 9.2, 8.775)","(51.0, 100.0, 83.33333333333333)","(51.0, 120.0, 87.5)","(26.0, 50.0, 42.0)","(101.0, 350.0, 286.0)"
10-01-2023 14:13:31.166932,"(3.8, 5.5, 4.915)","(3.2, 4.4, 4.08)","(4.4, 5.4, 5.375757575757576)","(9.0, 13.0, 11.772727272727273)","(11.0, 15.5, 15.326923076923077)","(13.0, 20.0, 18.285714285714285)","(7.5, 9.2, 8.775)","(51.0, 100.0, 83.33333333333333)","(51.0, 120.0, 103.75)","(26.0, 50.0, 42.0)","(101.0, 350.0, 250.0)"
10-01-2023 14:13:32.846375,"(3.8, 5.5, 4.915)","(3.2, 4.4, 4.147368421052632)","(4.4, 5.4, 5.375)","(9.0, 13.0, 11.772727272727273)","(11.0, 15.5, 16.3)","(13.0, 20.0, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 103.75)","(26.0, 50.0, 40.666666666666664)","(101.0, 350.0, 250.0)"
10-01-2023 14:13:34.429201,"(3.8, 5.5, 5.172727272727273)","(3.2, 4.4, 4.147368421052632)","(4.4, 5.4, 5.375)","(9.0, 13.0, 11.772727272727273)","(11.0, 16.5, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 103.75)","(26.0, 50.0, 40.666666666666664)","(101.0, 350.0, 250.0)"
10-01-2023 14:13:36.034212,"(3.8, 5.5, 5.172727272727273)","(3.2, 4.4, 4.147368421052632)","(4.4, 5.4, 5.375)","(9.0, 13.0, 11.772727272727273)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 103.75)","(26.0, 50.0, 40.666666666666664)","(101.0, 350.0, 250.0)"
10-01-2023 14:13:37.599339,"(3.8, 5.5, 5.172727272727273)","(3.2, 4.4, 4.181818181818182)","(4.4, 5.4, 5.375)","(9.0, 13.0, 11.772727272727273)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.799999999999999)","(51.0, 100.0, 87.5)","(51.0, 120.0, 103.75)","(26.0, 50.0, 40.666666666666664)","(101.0, 350.0, 250.0)"
10-01-2023 14:13:39.195779,"(3.8, 5.5, 5.172727272727273)","(3.2, 4.4, 4.08)","(4.4, 5.4, 6.016666666666667)","(9.0, 13.0, 11.772727272727273)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.799999999999999)","(51.0, 100.0, 87.5)","(51.0, 120.0, 103.75)","(26.0, 50.0, 47.84615384615385)","(101.0, 350.0, 250.0)"
10-01-2023 14:13:40.821106,"(3.8, 5.5, 5.172727272727273)","(3.2, 4.4, 4.033333333333333)","(4.4, 6.2, 5.27741935483871)","(9.0, 13.0, 11.772727272727273)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 103.75)","(26.0, 50.0, 42.0)","(101.0, 350.0, 250.0)"
10-01-2023 14:13:42.410490,"(3.8, 5.5, 5.172727272727273)","(3.2, 4.4, 4.033333333333333)","(4.4, 6.2, 5.38125)","(9.0, 13.0, 11.772727272727273)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 103.75)","(26.0, 50.0, 42.0)","(101.0, 350.0, 246.66666666666666)"
10-01-2023 14:13:43.972333,"(3.8, 5.5, 5.172727272727273)","(3.2, 4.4, 4.033333333333333)","(4.4, 6.0, 5.38125)","(9.0, 13.0, 11.772727272727273)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 103.75)","(26.0, 50.0, 42.0)","(101.0, 340.0, 246.66666666666666)"
10-01-2023 14:13:45.897332,"(3.8, 5.5, 5.172727272727273)","(3.2, 4.4, 4.033333333333333)","(4.4, 6.0, 5.509090909090909)","(9.0, 13.0, 11.772727272727273)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 103.75)","(26.0, 50.0, 42.0)","(101.0, 340.0, 246.66666666666666)"
10-01-2023 14:13:47.679745,"(3.8, 5.5, 5.1)","(3.2, 4.4, 4.033333333333333)","(4.4, 6.0, 5.509090909090909)","(9.0, 13.0, 11.772727272727273)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 103.75)","(26.0, 50.0, 42.0)","(101.0, 340.0, 246.66666666666666)"
10-01-2023 14:13:49.375698,"(3.8, 5.5, 5.1)","(3.2, 4.4, 4.033333333333333)","(4.4, 6.0, 5.509090909090909)","(9.0, 13.0, 11.772727272727273)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 87.5)","(26.0, 50.0, 42.0)","(101.0, 340.0, 260.0)"
10-01-2023 14:13:51.114956,"(3.8, 5.5, 5.209090909090909)","(3.2, 4.4, 4.033333333333333)","(4.4, 6.0, 5.2875)","(9.0, 13.0, 11.58955223880597)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 87.5)","(26.0, 50.0, 42.0)","(101.0, 340.0, 260.0)"
10-01-2023 14:13:52.871999,"(3.8, 5.5, 5.209090909090909)","(3.2, 4.4, 4.033333333333333)","(4.4, 6.0, 5.2875)","(9.0, 13.0, 11.58955223880597)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 87.5)","(26.0, 50.0, 42.0)","(101.0, 340.0, 260.0)"
10-01-2023 14:13:54.445479,"(3.8, 5.5, 5.209090909090909)","(3.2, 4.4, 4.033333333333333)","(4.4, 6.0, 5.2875)","(9.0, 13.0, 11.58955223880597)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 87.5)","(26.0, 50.0, 42.0)","(101.0, 340.0, 260.0)"
10-01-2023 14:13:56.203821,"(3.8, 5.5, 5.209090909090909)","(3.2, 4.4, 4.033333333333333)","(4.4, 6.0, 5.2875)","(9.0, 13.0, 11.58955223880597)","(11.0, 16.0, 15.916666666666666)","(13.0, 19.5, 18.0)","(7.5, 9.2, 8.775)","(51.0, 100.0, 87.5)","(51.0, 120.0, 87.5)","(26.0, 50.0, 42.0)","(101.0, 340.0, 280.0)"
