,Wild Ollie,Sanitized,Blackwood Blue,Tiger Town,Elite Judan,Pauline Keeping,Ninja Fun,Cool Myra
11-01-2023 21:52:05.348066,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:06.442417,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:07.552877,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:08.651512,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:10.127813,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:11.296475,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:12.438144,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:13.563082,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:14.737399,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:15.995044,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:17.234601,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:18.468100,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:19.730585,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:20.922585,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:22.164820,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:23.375482,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:24.538401,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:25.718876,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
11-01-2023 21:52:26.940114,"(6.0, 11.0, 9.0125)","(10.0, 30.0, 23.5)","(12.0, 29.0, 23.0)","(3.3, 5.5, 3.8358490566037737)","(3.5, 6.4, 4.6)","(7.5, 17.0, 15.333333333333334)","(61.0, 570.0, 333.6363636363636)","(4.0, 8.2, 5.7772727272727264)"
