,Spring Monica,Bow Down,Roxy Rover,Undoing,Snowy Jinx,Shakira Blaze
06-01-2023 10:40:58.785470,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:40:59.744228,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:00.634857,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:01.600192,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:02.583816,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:03.493692,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:04.418170,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:05.342718,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:06.287892,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:07.271303,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:08.162591,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:09.045880,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:09.987371,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:11.119622,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:12.165027,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:13.148579,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:14.043778,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:41:14.943590,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.833333333333333)","(6.0, 11.5, 6.318181818181818)"
