,Surveillance,Chiclett,Henchard,Chuck A Luck,Tuscan Holiday,Soviet Spy,Rhythm Star,Long Knife Brother,Missalfie
07-12-2022 17:58:51.619228,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 22.0)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 220.0, 183.75)","(7.5, 12.5, 11.5)"
07-12-2022 17:58:52.783498,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 22.0)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 220.0, 123.33333333333334)","(7.5, 12.5, 11.5)"
07-12-2022 17:58:53.883151,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 22.0)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 220.0, 123.33333333333334)","(7.5, 12.5, 11.5)"
07-12-2022 17:58:55.061980,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 22.0)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 220.0, 183.75)","(7.5, 12.5, 11.5)"
07-12-2022 17:58:56.274878,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 22.0)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 220.0, 183.75)","(7.5, 12.5, 11.5)"
07-12-2022 17:58:57.403121,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 22.0)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 220.0, 123.33333333333334)","(7.5, 12.5, 11.5)"
07-12-2022 17:58:58.829328,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 22.0)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 220.0, 183.75)","(7.5, 12.5, 11.5)"
07-12-2022 17:59:00.000537,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 22.0)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 220.0, 183.75)","(7.5, 12.5, 11.5)"
07-12-2022 17:59:01.239935,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 22.0)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 220.0, 171.66666666666666)","(7.5, 12.5, 11.5)"
07-12-2022 17:59:02.397311,"(3.6, 4.7, 4.477777777777778)","(4.6, 5.7, 5.45)","(4.4, 4.8, 4.6375)","(17.0, 26.0, 22.0)","(10.0, 17.5, 15.357142857142858)","(10.0, 11.5, 10.136363636363637)","(10.0, 13.0, 11.875)","(71.0, 220.0, 145.0)","(7.5, 12.5, 11.5)"
