,Splash Of Crimson Nz,Lucky Beach Boy,Watts Up Sunshine,Joe Nien,Firestorm Red,Reign Maker,Aalesund,Everybodylovedray,R Eleven Art Nz,Yoha Nz
07-01-2023 20:01:55.562896,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:01:56.900314,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:01:58.316072,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:01:59.816495,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:01.481937,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:02.911421,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:04.503778,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:05.964052,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:07.615626,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:09.145367,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:10.561942,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:11.928930,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:13.306898,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:14.770587,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:16.179407,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:17.603551,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:18.984502,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:20.415995,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:21.842968,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:23.261621,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:24.692306,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:26.176841,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:27.636842,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:29.159004,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
07-01-2023 20:02:30.666171,"(6.5, 99999, 99990)","(13.0, 28.0, 23.166666666666664)","(1.9, 2.86, 2.1210526315789475)","(4.6, 7.4, 5.8375)","(9.0, 17.5, 11.433333333333334)","(101.0, 230.0, 165.0)","(21.0, 65.0, 34.6875)","(31.0, 130.0, 50.0)","(10.0, 99999, 99990)","(61.0, 99999, 99990)"
