,Orson Laurie,Blink You Lose,Double Happiness,Boston Budgies,Fernando Diva,Kingsbrae Anna
15-12-2022 12:41:25.917059,"(1.26, 1.52, 1.3472727272727274)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:26.870580,"(1.26, 1.51, 1.366)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:27.846570,"(1.26, 1.52, 1.3472727272727274)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:29.043800,"(1.26, 1.51, 1.3715384615384616)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:30.163794,"(1.26, 1.51, 1.4223076923076923)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:31.244714,"(1.26, 1.51, 1.4223076923076923)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:32.257021,"(1.26, 1.51, 1.3678947368421053)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 327.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:33.526605,"(1.26, 1.5, 1.3980000000000001)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 260.57142857142856)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:34.811415,"(1.26, 1.5, 1.3980000000000001)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 260.57142857142856)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:36.094488,"(1.26, 1.5, 1.3980000000000001)","(8.5, 21.0, 11.666666666666668)","(51.0, 420.0, 342.0)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:37.355368,"(1.26, 1.5, 1.3980000000000001)","(8.5, 21.0, 11.666666666666668)","(51.0, 440.0, 353.59999999999997)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 9.65)","(6.5, 14.0, 9.2)"
15-12-2022 12:41:38.657105,"(1.26, 1.5, 1.3980000000000001)","(8.5, 21.0, 11.666666666666668)","(51.0, 430.0, 353.59999999999997)","(17.0, 65.0, 30.818181818181817)","(7.5, 17.0, 11.272727272727273)","(6.5, 14.0, 9.2)"
