,Our Blue Haze,Shinning Hook,Please Thanks,Remo Rodman,Hot Fudge,Hooked On Red,Waterloo Boy
10-01-2023 18:04:20.877830,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:22.045771,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:23.370338,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:24.645631,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:25.970877,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:27.204766,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:28.446474,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:29.692346,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:30.803953,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:31.874755,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:32.922083,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:33.939555,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:35.078540,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:36.165614,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:37.273447,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:38.412668,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:39.571079,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:40.695256,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:41.791293,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
10-01-2023 18:04:42.903610,"(5.5, 11.0, 9.416666666666666)","(2.5, 3.25, 2.8886363636363637)","(3.4, 6.4, 3.5975)","(13.0, 30.0, 22.291666666666668)","(18.0, 65.0, 43.40909090909091)","(9.0, 20.0, 19.253333333333334)","(5.0, 8.0, 5.333333333333333)"
