,Big Time Axel,Churn It Up,Thrilling Bandit,Go Norman,Redeem A Rapper,Big Time Express,Dangerous Woman,Big Time Maurice
11-01-2023 13:38:14.422079,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:15.650576,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:16.850955,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:18.086334,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:19.341063,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:20.473856,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:21.628968,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:22.793833,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:24.001132,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:25.330426,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:26.712878,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:28.125839,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:29.502615,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:30.873284,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:32.612880,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:34.202259,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:35.769054,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:37.154006,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:38.549841,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:39.925897,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:41.372068,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:42.817035,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:44.176154,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:45.532830,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:46.974384,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:48.375856,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:49.740826,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:51.124394,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:52.402445,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:53.699300,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
11-01-2023 13:38:54.980336,"(2.5, 4.0, 3.26)","(17.0, 95.0, 43.892857142857146)","(4.8, 11.5, 8.15)","(26.0, 150.0, 81.1764705882353)","(15.0, 85.0, 42.1)","(4.6, 14.0, 10.280000000000001)","(4.6, 16.0, 10.5)","(7.5, 13.5, 12.6375)"
