,Flat Tyre,Good Boy Lloyd,Canya Whisper,Orara Mullet,Aston Cash,Big Bad Bruce,Mary Now Knows,Annabelle Rocks
16-12-2022 12:03:31.837659,"(3.9, 7.6, 7.428571428571428)","(5.5, 7.2, 6.027906976744186)","(4.2, 6.2, 5.552)","(21.0, 50.0, 37.57142857142857)","(51.0, 520.0, 357.5)","(10.0, 50.0, 47.25)","(5.5, 6.2, 5.526923076923077)","(3.4, 3.8, 3.6999999999999997)"
16-12-2022 12:03:32.856106,"(3.9, 7.6, 7.428571428571428)","(5.5, 7.2, 6.027906976744186)","(4.2, 6.2, 5.552)","(21.0, 50.0, 37.57142857142857)","(51.0, 520.0, 357.5)","(10.0, 50.0, 47.25)","(5.5, 6.2, 5.526923076923077)","(3.4, 3.8, 3.6999999999999997)"
16-12-2022 12:03:33.990858,"(3.9, 7.6, 7.428571428571428)","(5.5, 7.2, 6.027906976744186)","(4.2, 6.2, 5.55)","(21.0, 50.0, 37.57142857142857)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.2, 5.526923076923077)","(3.4, 3.8, 3.652941176470588)"
16-12-2022 12:03:35.155410,"(3.9, 7.6, 7.24)","(5.5, 7.2, 6.027906976744186)","(4.2, 6.0, 5.55)","(21.0, 50.0, 37.57142857142857)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.2, 5.526923076923077)","(3.4, 3.8, 3.694736842105263)"
16-12-2022 12:03:36.294923,"(3.9, 7.6, 7.2727272727272725)","(5.5, 7.2, 6.027906976744186)","(4.2, 6.0, 5.6)","(21.0, 50.0, 36.26315789473684)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.2, 5.526923076923077)","(3.4, 3.8, 3.694736842105263)"
16-12-2022 12:03:37.664229,"(3.9, 7.6, 7.2727272727272725)","(5.5, 7.2, 6.027906976744186)","(4.2, 6.0, 5.6)","(21.0, 50.0, 36.26315789473684)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.2, 5.526923076923077)","(3.4, 3.8, 3.657142857142857)"
16-12-2022 12:03:39.035572,"(3.9, 7.6, 7.2727272727272725)","(5.5, 7.2, 6.027906976744186)","(4.2, 6.0, 5.377777777777778)","(21.0, 50.0, 34.25)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.2, 5.791304347826087)","(3.4, 3.8, 3.618181818181818)"
16-12-2022 12:03:40.310220,"(3.9, 7.6, 7.3)","(5.5, 7.0, 6.5636363636363635)","(4.2, 6.0, 5.377777777777778)","(21.0, 50.0, 29.75)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.0, 5.685714285714286)","(3.4, 3.8, 3.6999999999999997)"
16-12-2022 12:03:41.522628,"(3.9, 7.6, 7.3)","(5.5, 7.0, 6.070967741935484)","(4.2, 6.0, 5.591666666666667)","(21.0, 50.0, 29.75)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6999999999999997)"
16-12-2022 12:03:42.690306,"(3.9, 7.6, 7.3)","(5.5, 7.0, 6.070967741935484)","(4.2, 6.0, 5.591666666666667)","(21.0, 50.0, 29.75)","(51.0, 520.0, 357.5)","(10.0, 50.0, 45.8)","(5.5, 6.0, 5.509090909090909)","(3.4, 3.8, 3.6999999999999997)"
