,Alfano,Lamelo,Sacred Field,Ramones,Arion Story,Cake Baby,Anavinci,Fanagoria,Shes A Bad Girl,Coriolis
08-12-2022 14:23:22.735194,"(26.0, 50.0, 36.470588235294116)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 64.8)","(2.0, 2.3, 2.2621476510067113)","(41.0, 220.0, 170.0)","(101.0, 530.0, 492.72727272727275)","(4.2, 5.2, 5.1466666666666665)","(7.0, 8.4, 8.34)","(6.5, 13.5, 11.588235294117647)","(12.0, 15.0, 14.431034482758621)"
08-12-2022 14:23:24.153647,"(26.0, 50.0, 36.470588235294116)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 64.8)","(2.0, 2.3, 2.2621476510067113)","(41.0, 220.0, 170.0)","(101.0, 530.0, 492.72727272727275)","(4.2, 5.2, 5.1466666666666665)","(7.0, 8.4, 8.34)","(6.5, 13.5, 11.588235294117647)","(12.0, 15.0, 14.431034482758621)"
08-12-2022 14:23:25.499448,"(26.0, 50.0, 36.470588235294116)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 64.8)","(2.0, 2.3, 2.2621476510067113)","(41.0, 220.0, 170.0)","(101.0, 530.0, 492.72727272727275)","(4.2, 5.2, 4.3999999999999995)","(7.0, 8.4, 8.34)","(6.5, 13.5, 11.875)","(12.0, 15.0, 14.431034482758621)"
08-12-2022 14:23:26.930749,"(26.0, 50.0, 30.0)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 64.8)","(2.0, 2.3, 2.2643037974683544)","(41.0, 220.0, 170.0)","(101.0, 530.0, 492.72727272727275)","(4.2, 4.6, 4.537931034482759)","(7.0, 8.4, 8.347058823529412)","(6.5, 13.5, 11.588235294117647)","(12.0, 15.0, 14.431034482758621)"
08-12-2022 14:23:28.327829,"(26.0, 50.0, 30.0)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 64.8)","(2.0, 2.3, 2.2643037974683544)","(41.0, 220.0, 170.0)","(101.0, 530.0, 396.6666666666667)","(4.2, 5.2, 4.798305084745763)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.642857142857142)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:29.654652,"(26.0, 50.0, 40.0)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.3, 2.3398230088495575)","(41.0, 220.0, 170.0)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.9, 4.8090909090909095)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:30.996285,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 170.0)","(101.0, 530.0, 396.6666666666667)","(4.2, 4.9, 4.8090909090909095)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:32.330289,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 105.33333333333334)","(101.0, 530.0, 325.0)","(4.2, 4.9, 4.8090909090909095)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:33.656126,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 105.33333333333334)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.8090909090909095)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
08-12-2022 14:23:34.947394,"(26.0, 48.0, 46.46153846153847)","(19.0, 34.0, 32.05194805194805)","(20.0, 90.0, 79.5)","(2.0, 2.4, 2.3398230088495575)","(41.0, 220.0, 105.33333333333334)","(101.0, 520.0, 325.0)","(4.2, 4.9, 4.8090909090909095)","(7.0, 8.4, 8.16)","(6.5, 13.5, 11.766666666666667)","(12.0, 15.0, 14.043478260869565)"
