,Cause Havoc,Sir Diamond,Chase Me Chopper,Double Buck,Off Beat
06-01-2023 11:11:34.932075,"(2.45, 4.2, 3.163636363636364)","(5.5, 8.8, 8.333333333333334)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 36.94444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:35.952464,"(2.45, 4.2, 3.163636363636364)","(5.5, 8.8, 8.333333333333334)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 36.94444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:37.096725,"(2.45, 4.2, 3.163636363636364)","(5.5, 8.8, 8.333333333333334)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 36.94444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:38.160278,"(2.45, 4.2, 3.163636363636364)","(5.5, 8.8, 8.333333333333334)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 36.94444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:39.122720,"(2.45, 4.2, 3.163636363636364)","(5.5, 8.8, 8.333333333333334)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 36.94444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:40.173406,"(2.45, 4.2, 3.163636363636364)","(5.5, 8.8, 8.333333333333334)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 36.94444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:41.483303,"(2.45, 4.2, 3.163636363636364)","(5.5, 8.8, 8.333333333333334)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 36.94444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:42.446897,"(2.45, 4.2, 3.163636363636364)","(5.5, 8.8, 8.333333333333334)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 36.94444444444444)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:43.643872,"(2.45, 4.2, 3.163636363636364)","(5.5, 8.8, 8.333333333333334)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 41.875)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:44.723552,"(2.45, 4.2, 3.163636363636364)","(5.5, 8.8, 8.333333333333334)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 41.875)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:45.744374,"(2.45, 4.2, 3.163636363636364)","(5.5, 8.8, 8.333333333333334)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 41.875)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:46.765571,"(2.45, 4.2, 3.163636363636364)","(5.5, 8.8, 8.333333333333334)","(2.5, 3.5, 3.2464150943396226)","(21.0, 60.0, 41.875)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:47.771729,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.55, 3.2975)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:48.671184,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.55, 3.2975)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
06-01-2023 11:11:49.683488,"(2.45, 4.2, 3.163636363636364)","(5.5, 9.2, 8.68)","(2.5, 3.55, 3.1315625)","(21.0, 60.0, 37.22222222222222)","(4.4, 7.2, 6.825)"
