,Heavenly Sign,Wotnow Swanee,Nor Westa,Standandeliver,Sport Cadet,Colby Nz,Im Boo Nz,Thundamental
05-01-2023 17:02:27.294005,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:28.670774,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:30.144037,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:31.525424,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:32.812427,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:34.090135,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:35.381421,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:36.707214,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:37.998297,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:39.150090,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:40.361027,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:41.529583,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:42.763143,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:44.045819,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:45.230610,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:46.410210,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:47.589797,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:48.697225,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:49.784155,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:51.124764,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:52.319317,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:53.498522,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:54.697519,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:55.874904,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:57.106248,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:58.317174,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:02:59.559833,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
05-01-2023 17:03:00.768184,"(1.3, 2.0, 1.6714285714285715)","(21.0, 60.0, 25.0)","(41.0, 170.0, 81.28571428571429)","(11.0, 28.0, 15.166666666666666)","(6.5, 13.5, 10.35)","(21.0, 99999, 99990)","(9.0, 99999, 99990)","(11.0, 32.0, 17.357142857142858)"
