,Arctic Rocket,Devilicious,Flying Dubawi,Gold Counter,Sunday Bell,Dastani,Dubai Bound,Hubie Dubie,Lanks,Pleasing Surprise,State Capital,Creedemption,Craigs My Boy,Elite Choice
12-01-2023 12:43:02.623466,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 17.71875)","(19.0, 95.0, 45.66666666666667)","(4.0, 5.9, 5.038461538461538)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:04.251494,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 18.0)","(19.0, 95.0, 45.66666666666667)","(4.0, 5.9, 4.8500000000000005)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:05.848342,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 18.0)","(19.0, 95.0, 45.66666666666667)","(4.0, 5.9, 4.8500000000000005)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:07.495162,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 18.075)","(19.0, 95.0, 70.33333333333334)","(4.0, 5.9, 5.5)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:09.096520,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 18.075)","(19.0, 95.0, 70.33333333333334)","(4.0, 6.0, 5.5)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:10.622541,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 18.075)","(19.0, 95.0, 70.33333333333334)","(4.0, 6.0, 5.5)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:12.144857,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 18.075)","(19.0, 95.0, 70.33333333333334)","(4.0, 6.0, 5.5)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:13.758096,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 18.075)","(19.0, 95.0, 70.33333333333334)","(4.0, 6.0, 5.5)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:15.319039,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 18.075)","(19.0, 95.0, 70.33333333333334)","(4.0, 6.0, 5.5)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 12:43:16.864064,"(41.0, 220.0, 102.66666666666666)","(1.85, 2.12, 2.1171428571428574)","(31.0, 170.0, 53.42857142857143)","(10.0, 13.0, 11.833333333333334)","(101.0, 220.0, 185.71428571428572)","(10.0, 19.5, 18.075)","(19.0, 95.0, 70.33333333333334)","(4.0, 6.0, 5.5)","(16.0, 55.0, 26.5)","(61.0, 220.0, 174.28571428571428)","(13.0, 29.0, 19.4)","(41.0, 220.0, 101.33333333333334)","(91.0, 220.0, 182.85714285714286)","(101.0, 220.0, 185.71428571428572)"
