,Sir Jujon,Pom Pay,Badboybeau Nz,Ellen Shannon,Promising,Don Arthur,Leah Shannon,Bettor Keppel,Major Holiday Nz,Alta Billy
07-12-2022 18:40:11.028229,"(21.0, 85.0, 64.42857142857143)","(51.0, 240.0, 242.5)","(1.75, 99999, 99990)","(41.0, 140.0, 100.0)","(2.3, 2.72, 2.6382608695652174)","(14.0, 27.0, 24.7)","(81.0, 210.0, 174.28571428571428)","(41.0, 95.0, 84.55555555555556)","(41.0, 99999, 99990)","(12.0, 22.0, 19.166666666666668)"
07-12-2022 18:40:12.541686,"(21.0, 75.0, 64.42857142857143)","(51.0, 280.0, 242.5)","(1.75, 99999, 99990)","(41.0, 140.0, 100.0)","(2.3, 2.76, 2.6382608695652174)","(14.0, 27.0, 24.7)","(81.0, 210.0, 174.28571428571428)","(41.0, 95.0, 65.0)","(41.0, 99999, 99990)","(12.0, 22.0, 24.153846153846153)"
07-12-2022 18:40:13.869002,"(21.0, 75.0, 57.5)","(51.0, 270.0, 200.0)","(1.75, 99999, 99990)","(41.0, 140.0, 102.5)","(2.3, 2.76, 2.74)","(14.0, 27.0, 24.25)","(81.0, 210.0, 130.0)","(41.0, 95.0, 65.0)","(41.0, 99999, 99990)","(12.0, 26.0, 24.153846153846153)"
07-12-2022 18:40:15.574118,"(21.0, 75.0, 62.0)","(51.0, 290.0, 222.85714285714283)","(1.75, 99999, 99990)","(41.0, 140.0, 100.0)","(2.3, 2.74, 2.712142857142857)","(14.0, 27.0, 23.5)","(81.0, 210.0, 126.66666666666666)","(41.0, 95.0, 82.14285714285714)","(41.0, 99999, 99990)","(12.0, 25.0, 21.142857142857142)"
07-12-2022 18:40:17.177538,"(21.0, 75.0, 62.0)","(51.0, 290.0, 222.85714285714283)","(1.75, 99999, 99990)","(41.0, 140.0, 100.0)","(2.3, 2.74, 2.712142857142857)","(14.0, 27.0, 23.5)","(81.0, 210.0, 126.66666666666666)","(41.0, 95.0, 82.14285714285714)","(41.0, 99999, 99990)","(12.0, 24.0, 20.833333333333332)"
07-12-2022 18:40:18.661137,"(21.0, 75.0, 65.0)","(51.0, 290.0, 136.66666666666669)","(1.75, 99999, 99990)","(41.0, 140.0, 100.0)","(2.3, 2.72, 2.7171428571428575)","(14.0, 27.0, 20.333333333333332)","(81.0, 210.0, 171.25)","(41.0, 95.0, 72.5)","(41.0, 99999, 99990)","(12.0, 24.0, 21.3)"
07-12-2022 18:40:19.995529,"(21.0, 70.0, 65.0)","(51.0, 280.0, 184.44444444444446)","(1.75, 99999, 99990)","(41.0, 140.0, 86.66666666666667)","(2.3, 2.74, 2.738666666666667)","(14.0, 26.0, 24.3)","(81.0, 200.0, 163.33333333333331)","(41.0, 90.0, 72.5)","(41.0, 99999, 99990)","(12.0, 23.0, 19.5)"
07-12-2022 18:40:21.294700,"(21.0, 60.0, 56.66666666666667)","(51.0, 270.0, 229.0)","(1.75, 99999, 99990)","(41.0, 140.0, 86.66666666666667)","(2.3, 2.76, 2.739310344827586)","(14.0, 25.0, 22.166666666666668)","(81.0, 190.0, 165.0)","(41.0, 80.0, 67.5)","(41.0, 99999, 99990)","(12.0, 22.0, 19.5)"
07-12-2022 18:40:22.611833,"(21.0, 60.0, 57.14285714285714)","(51.0, 260.0, 195.0)","(1.75, 99999, 99990)","(41.0, 140.0, 86.66666666666667)","(2.3, 2.76, 2.739310344827586)","(14.0, 23.0, 22.166666666666668)","(81.0, 190.0, 165.0)","(41.0, 80.0, 67.5)","(41.0, 99999, 99990)","(12.0, 22.0, 20.0)"
07-12-2022 18:40:24.109178,"(21.0, 60.0, 57.14285714285714)","(51.0, 260.0, 195.0)","(1.75, 99999, 99990)","(41.0, 140.0, 86.66666666666667)","(2.3, 2.76, 2.739310344827586)","(14.0, 27.0, 25.5)","(81.0, 190.0, 165.0)","(41.0, 80.0, 67.5)","(41.0, 99999, 99990)","(12.0, 22.0, 20.0)"
07-12-2022 18:40:25.627731,"(21.0, 60.0, 57.14285714285714)","(51.0, 250.0, 226.25)","(1.75, 99999, 99990)","(41.0, 140.0, 86.66666666666667)","(2.3, 2.76, 2.736969696969697)","(14.0, 26.0, 22.6)","(81.0, 190.0, 123.33333333333334)","(41.0, 80.0, 67.5)","(41.0, 99999, 99990)","(12.0, 22.0, 20.0)"
07-12-2022 18:40:27.251430,"(21.0, 60.0, 57.14285714285714)","(51.0, 250.0, 226.25)","(1.75, 99999, 99990)","(41.0, 140.0, 86.66666666666667)","(2.3, 2.76, 2.736969696969697)","(14.0, 26.0, 25.333333333333336)","(81.0, 190.0, 165.0)","(41.0, 80.0, 67.5)","(41.0, 99999, 99990)","(12.0, 22.0, 19.2)"
07-12-2022 18:40:28.547123,"(21.0, 60.0, 57.14285714285714)","(51.0, 250.0, 213.0)","(1.75, 99999, 99990)","(41.0, 140.0, 113.33333333333334)","(2.3, 2.76, 2.736969696969697)","(14.0, 27.0, 25.333333333333336)","(81.0, 190.0, 165.0)","(41.0, 80.0, 67.5)","(41.0, 99999, 99990)","(12.0, 22.0, 19.2)"
07-12-2022 18:40:29.716489,"(21.0, 60.0, 57.14285714285714)","(51.0, 250.0, 213.0)","(1.75, 99999, 99990)","(41.0, 140.0, 113.33333333333334)","(2.3, 2.76, 2.736969696969697)","(14.0, 27.0, 25.333333333333336)","(81.0, 190.0, 165.0)","(41.0, 80.0, 67.5)","(41.0, 99999, 99990)","(12.0, 22.0, 19.2)"
07-12-2022 18:40:30.999014,"(21.0, 60.0, 57.14285714285714)","(51.0, 250.0, 213.0)","(1.75, 99999, 99990)","(41.0, 140.0, 86.66666666666667)","(2.3, 2.76, 2.7260465116279073)","(14.0, 27.0, 25.416666666666664)","(81.0, 190.0, 123.33333333333334)","(41.0, 80.0, 67.5)","(41.0, 99999, 99990)","(12.0, 22.0, 19.2)"
07-12-2022 18:40:32.252850,"(21.0, 60.0, 57.14285714285714)","(51.0, 230.0, 197.0)","(1.75, 99999, 99990)","(41.0, 140.0, 86.66666666666667)","(2.3, 2.74, 2.7070967741935488)","(14.0, 27.0, 26.25)","(81.0, 190.0, 303.33333333333337)","(41.0, 80.0, 103.75)","(41.0, 99999, 99990)","(12.0, 22.0, 19.2)"
07-12-2022 18:40:33.548342,"(21.0, 200.0, 160.0)","(51.0, 220.0, 142.5)","(1.75, 99999, 99990)","(41.0, 130.0, 68.75)","(2.3, 2.72, 2.7070967741935488)","(14.0, 28.0, 26.25)","(81.0, 410.0, 217.5)","(41.0, 250.0, 73.33333333333333)","(41.0, 99999, 99990)","(12.0, 22.0, 19.2)"
07-12-2022 18:40:34.810138,"(21.0, 190.0, 152.5)","(51.0, 210.0, 137.5)","(1.75, 99999, 99990)","(41.0, 120.0, 68.57142857142857)","(2.3, 2.7, 2.69375)","(14.0, 28.0, 26.25)","(81.0, 260.0, 374.16666666666663)","(41.0, 110.0, 147.5)","(41.0, 99999, 99990)","(12.0, 22.0, 19.2)"
