,Imperial Master,Perfect Design,Shrinking,Weblec Breeze,Miss Graphite,Scott Hue,Follow You,Diamond Carat
07-01-2023 09:08:58.413084,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:08:59.446136,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:00.475357,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:01.528222,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:02.585545,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:03.659205,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:04.778993,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:05.861035,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:06.932198,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:07.984163,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:09.030429,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:10.098122,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:11.153433,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:12.186300,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:13.247311,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:14.284193,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:15.309353,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:16.325531,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:17.330634,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:18.280977,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:19.237089,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:20.256755,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:21.249457,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:22.266437,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:23.294464,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
07-01-2023 09:09:24.355615,"(4.2, 7.8, 6.376923076923077)","(5.5, 10.5, 8.417857142857143)","(5.0, 10.5, 5.183333333333334)","(71.0, 590.0, 514.2857142857142)","(4.0, 6.6, 5.52)","(15.0, 42.0, 29.045454545454547)","(5.0, 11.0, 5.454545454545455)","(5.5, 11.0, 5.818181818181818)"
