,Busted Axel,Springview Magic,Alpha Zap,Magical Trav,Magical Len,Champagne Jazzy
14-12-2022 13:25:48.104984,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 13.04)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:25:49.146375,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:25:50.212012,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:25:51.144374,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:25:52.072051,"(10.0, 23.0, 14.375)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:25:53.162839,"(10.0, 23.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:25:54.198207,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:25:55.267512,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:25:56.366017,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
14-12-2022 13:25:57.456126,"(10.0, 24.0, 17.75)","(7.0, 14.5, 10.85)","(11.0, 23.0, 12.777777777777779)","(7.0, 14.5, 9.766666666666667)","(18.0, 44.0, 26.333333333333336)","(1.3, 1.86, 1.455217391304348)"
