,Interpretation,Yering Soho,Terror To Rock,Star Shine,Honolulu Lulu,Mods,Gilardi,Eddee,Rocking Wroxton
10-01-2023 16:44:07.067242,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 18.25)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:08.464085,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 18.25)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:09.891555,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 18.25)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:11.324667,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 18.25)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:12.604916,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 18.25)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:14.130363,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 18.25)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:15.458418,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 18.25)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:16.736672,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 18.25)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:18.037075,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:19.466184,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:20.909760,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
10-01-2023 16:44:22.367548,"(1.4, 1.74, 1.635)","(6.5, 9.0, 7.96)","(12.0, 24.0, 21.125)","(12.0, 23.0, 18.2)","(10.0, 20.0, 17.4)","(26.0, 80.0, 57.2)","(11.0, 22.0, 19.375)","(31.0, 90.0, 52.66666666666667)","(51.0, 150.0, 139.8)"
