,Rich List,Bretts Hope,Mums Pet Rock,Resolute Bay,Movin Millions,Mister Nien,Denstown Nz,Streamliner,Taste It
09-01-2023 14:08:44.446507,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:08:45.613833,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:08:46.772387,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:08:47.904273,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:08:48.989139,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.027272727272727)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:08:50.110747,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:08:51.317970,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:08:52.443768,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:08:53.606101,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
09-01-2023 14:08:54.738541,"(5.5, 10.0, 8.733333333333334)","(15.0, 28.0, 18.666666666666668)","(31.0, 55.0, 34.333333333333336)","(10.0, 19.0, 12.333333333333334)","(18.0, 40.0, 27.22222222222222)","(5.0, 6.6, 6.15)","(4.0, 99999, 99990)","(4.2, 5.0, 4.8)","(4.8, 7.6, 7.536)"
