,Magic Drum,Tom The Star,Silly Salmon,Strad,Beautrooper,Funny Impact,Isolating,Beaukati,Belle Power,Miss Epernay,Low Level Flying,Ourzacracker
10-01-2023 15:13:51.357310,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.266666666666667)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.85)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 26.333333333333332)","(101.0, 190.0, 172.22222222222223)","(101.0, 170.0, 170.0)","(91.0, 130.0, 112.5)"
10-01-2023 15:13:52.915074,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.338461538461539)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.85)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 26.333333333333332)","(101.0, 190.0, 172.22222222222223)","(101.0, 220.0, 170.0)","(91.0, 130.0, 112.5)"
10-01-2023 15:13:54.599285,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.338461538461539)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.85)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 26.333333333333332)","(101.0, 190.0, 172.22222222222223)","(101.0, 220.0, 176.66666666666666)","(91.0, 130.0, 112.5)"
10-01-2023 15:13:56.179346,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.338461538461539)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 26.333333333333332)","(101.0, 190.0, 172.22222222222223)","(101.0, 210.0, 176.66666666666666)","(91.0, 130.0, 112.5)"
10-01-2023 15:13:57.712426,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.338461538461539)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 24.5)","(101.0, 190.0, 172.22222222222223)","(101.0, 210.0, 176.66666666666666)","(91.0, 130.0, 112.5)"
10-01-2023 15:13:59.177291,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.338461538461539)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 25.352941176470587)","(101.0, 190.0, 172.22222222222223)","(101.0, 210.0, 176.66666666666666)","(91.0, 130.0, 112.5)"
10-01-2023 15:14:00.788551,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.338461538461539)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 26.666666666666668)","(101.0, 190.0, 172.22222222222223)","(101.0, 210.0, 173.33333333333334)","(91.0, 130.0, 112.5)"
10-01-2023 15:14:02.414697,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.338461538461539)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 26.666666666666668)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 112.5)"
10-01-2023 15:14:03.952342,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.338461538461539)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 26.666666666666668)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 112.5)"
10-01-2023 15:14:05.405168,"(9.0, 12.0, 11.277777777777779)","(5.0, 8.4, 8.338461538461539)","(3.4, 4.1, 4.014285714285714)","(10.0, 16.5, 16.0)","(8.5, 10.5, 9.546666666666667)","(26.0, 55.0, 46.75)","(10.0, 12.0, 11.935714285714285)","(3.9, 5.1, 4.949999999999999)","(21.0, 27.0, 26.705882352941178)","(101.0, 190.0, 172.22222222222223)","(101.0, 200.0, 173.33333333333334)","(91.0, 130.0, 112.5)"
