,Ms Morena,Cupids Joy,Beautiful Taps,Mazi,Cat Tale Breeze,Valley Verde,Sweet Dynasty
16-12-2022 10:49:01.363957,"(11.0, 99999, 99990)","(7.5, 11.5, 10.542857142857143)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.4)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.12)"
16-12-2022 10:49:02.551219,"(11.0, 99999, 99990)","(7.5, 11.0, 10.542857142857143)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.4)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.12)"
16-12-2022 10:49:03.748586,"(11.0, 99999, 99990)","(7.5, 11.0, 10.542857142857143)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.4)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.027272727272727)"
16-12-2022 10:49:04.882036,"(11.0, 99999, 99990)","(7.5, 11.0, 10.542857142857143)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.4)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.027272727272727)"
16-12-2022 10:49:05.955837,"(11.0, 99999, 99990)","(7.5, 11.0, 10.542857142857143)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.4)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.027272727272727)"
16-12-2022 10:49:07.075916,"(11.0, 99999, 99990)","(7.5, 11.0, 10.542857142857143)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.4)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.027272727272727)"
16-12-2022 10:49:08.277279,"(11.0, 99999, 99990)","(7.5, 11.0, 10.971428571428572)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.4)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.027272727272727)"
16-12-2022 10:49:09.446297,"(11.0, 99999, 99990)","(7.5, 11.5, 10.971428571428572)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.266666666666666)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.0777777777777775)"
16-12-2022 10:49:10.674498,"(11.0, 99999, 99990)","(7.5, 11.5, 10.971428571428572)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.266666666666666)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.0777777777777775)"
16-12-2022 10:49:11.805569,"(11.0, 99999, 99990)","(7.5, 11.5, 10.971428571428572)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.266666666666666)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.0777777777777775)"
16-12-2022 10:49:12.904420,"(11.0, 99999, 99990)","(7.5, 11.5, 10.971428571428572)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.266666666666666)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.332)"
16-12-2022 10:49:13.956842,"(11.0, 99999, 99990)","(7.5, 11.5, 10.971428571428572)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.266666666666666)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.468421052631578)"
16-12-2022 10:49:15.115394,"(11.0, 99999, 99990)","(7.5, 11.5, 10.971428571428572)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.266666666666666)","(4.0, 6.6, 6.24)","(4.0, 4.8, 4.317391304347826)"
16-12-2022 10:49:16.235027,"(11.0, 99999, 99990)","(7.5, 11.5, 10.971428571428572)","(41.0, 380.0, 139.66666666666669)","(3.0, 3.95, 3.84)","(7.0, 9.0, 8.0)","(4.0, 6.6, 6.24)","(4.0, 4.7, 4.317391304347826)"
16-12-2022 10:49:17.367999,"(11.0, 99999, 99990)","(7.5, 11.0, 10.2)","(41.0, 380.0, 139.66666666666669)","(3.0, 4.2, 3.923076923076923)","(7.0, 8.6, 8.225)","(4.0, 6.6, 6.24)","(4.0, 4.7, 4.317391304347826)"
16-12-2022 10:49:18.361780,"(11.0, 99999, 99990)","(7.5, 11.0, 10.2)","(41.0, 380.0, 139.66666666666669)","(3.0, 4.2, 3.923076923076923)","(7.0, 10.5, 8.225)","(4.0, 6.6, 6.24)","(4.0, 4.7, 4.317391304347826)"
16-12-2022 10:49:19.347692,"(11.0, 99999, 99990)","(7.5, 11.0, 9.8)","(41.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.9499999999999997)","(7.0, 10.5, 7.992857142857142)","(4.0, 6.6, 6.24)","(4.0, 4.7, 4.317391304347826)"
16-12-2022 10:49:20.480219,"(11.0, 99999, 99990)","(7.5, 11.0, 9.8)","(41.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.9499999999999997)","(7.0, 10.5, 7.992857142857142)","(4.0, 6.6, 6.24)","(4.0, 4.7, 4.317391304347826)"
16-12-2022 10:49:21.671739,"(11.0, 99999, 99990)","(7.5, 11.0, 9.8)","(41.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.9499999999999997)","(7.0, 10.5, 7.992857142857142)","(4.0, 6.6, 6.24)","(4.0, 4.7, 4.317391304347826)"
16-12-2022 10:49:22.796291,"(11.0, 99999, 99990)","(7.5, 11.0, 9.8)","(41.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.9499999999999997)","(7.0, 10.5, 7.992857142857142)","(4.0, 6.6, 6.24)","(4.0, 4.7, 4.317391304347826)"
16-12-2022 10:49:23.908698,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.9499999999999997)","(6.5, 10.5, 7.992857142857142)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:24.963747,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.9499999999999997)","(6.5, 10.5, 7.992857142857142)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:26.001764,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.9499999999999997)","(6.5, 10.5, 7.992857142857142)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:27.058889,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.9499999999999997)","(6.5, 10.5, 7.992857142857142)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:28.116874,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.870588235294117)","(6.5, 10.5, 7.486363636363636)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:29.135468,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.8923076923076922)","(6.5, 10.0, 8.725)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:30.200435,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.8923076923076922)","(6.5, 9.6, 9.1)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:31.303747,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.8923076923076922)","(6.5, 9.4, 8.0)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:32.447322,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.8923076923076922)","(6.5, 9.4, 8.0)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:33.553238,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.8923076923076922)","(6.5, 9.4, 8.0)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:34.662805,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.8923076923076922)","(6.5, 9.4, 8.0)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:35.714115,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.1, 3.9499999999999997)","(6.5, 9.4, 8.0)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:36.707790,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.9)","(6.5, 9.4, 8.0)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:37.744961,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.9)","(6.5, 9.4, 7.872727272727273)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:38.886134,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.9)","(6.5, 10.0, 8.145454545454545)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:40.038225,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.9)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:41.188894,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.9)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:42.353037,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.9)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
16-12-2022 10:49:43.426505,"(11.0, 99999, 99990)","(8.0, 11.0, 9.8)","(31.0, 380.0, 139.66666666666669)","(3.0, 4.0, 3.9)","(6.5, 10.0, 8.016666666666666)","(4.0, 6.6, 6.24)","(3.9, 4.7, 4.317391304347826)"
