,Lala Noel,Hailey Lainey,Especial Pip,You Yang Yaala,Amlin Princess,No Holds Barred,Sailors Girl,Alfie Solomon
09-01-2023 11:38:01.057469,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:02.275301,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:03.463409,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:04.698662,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:05.927080,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:07.183109,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:08.452212,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:09.744357,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:10.997042,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
09-01-2023 11:38:12.263137,"(5.5, 12.5, 6.38)","(9.0, 19.0, 10.333333333333332)","(3.7, 5.9, 4.969791666666667)","(8.0, 20.0, 10.0)","(5.0, 10.5, 9.866666666666667)","(5.0, 10.5, 8.892307692307693)","(7.5, 15.5, 12.368421052631579)","(8.0, 17.0, 9.114285714285714)"
