,Mr Oklahoma City,Legionary,Gist,Hit One Out,Country Brave,Im Crenshaw,Spirit Of Spoatie,Canonize
15-12-2022 13:44:29.668330,"(12.0, 25.0, 20.25)","(4.2, 6.2, 5.65)","(18.0, 95.0, 65.8)","(8.0, 11.5, 8.583333333333334)","(6.5, 8.8, 8.0)","(4.2, 4.7, 4.366666666666667)","(5.0, 6.6, 6.32)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:30.956836,"(12.0, 25.0, 20.25)","(4.2, 6.2, 5.65)","(18.0, 95.0, 65.8)","(8.0, 11.5, 8.583333333333334)","(6.5, 8.8, 8.0)","(4.2, 4.7, 4.366666666666667)","(5.0, 6.6, 6.32)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:32.271399,"(12.0, 25.0, 20.25)","(4.2, 6.2, 5.65)","(18.0, 95.0, 65.8)","(8.0, 11.5, 8.583333333333334)","(6.5, 8.8, 8.266666666666667)","(4.2, 4.7, 4.366666666666667)","(5.0, 6.6, 5.85)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:33.524331,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.65)","(18.0, 95.0, 65.8)","(8.0, 11.5, 8.583333333333334)","(6.5, 8.8, 8.08)","(4.2, 4.7, 4.366666666666667)","(5.0, 6.4, 5.85)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:34.797905,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.65)","(18.0, 95.0, 74.42857142857143)","(8.0, 11.5, 10.25)","(6.5, 8.8, 8.08)","(4.2, 4.7, 4.366666666666667)","(5.0, 6.4, 5.85)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:36.046887,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.65)","(18.0, 95.0, 74.42857142857143)","(8.0, 12.5, 10.25)","(6.5, 8.8, 7.457142857142857)","(4.2, 4.7, 4.366666666666667)","(5.0, 6.4, 5.85)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:37.360689,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.65)","(18.0, 95.0, 74.42857142857143)","(8.0, 12.5, 8.21875)","(6.5, 8.6, 7.457142857142857)","(4.2, 4.7, 4.366666666666667)","(5.0, 6.4, 5.85)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:38.698484,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.65)","(18.0, 95.0, 74.42857142857143)","(8.0, 11.5, 9.0)","(6.5, 8.6, 7.457142857142857)","(4.2, 4.7, 4.366666666666667)","(5.0, 6.4, 5.85)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:40.040119,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.65)","(18.0, 95.0, 66.5)","(8.0, 11.0, 8.833333333333334)","(6.5, 8.6, 7.457142857142857)","(4.2, 4.7, 4.076923076923077)","(5.0, 6.4, 5.85)","(8.5, 11.0, 10.28)"
15-12-2022 13:44:41.384886,"(12.0, 25.0, 21.666666666666668)","(4.2, 6.2, 5.65)","(18.0, 95.0, 66.5)","(8.0, 10.5, 10.223809523809523)","(6.5, 8.6, 7.457142857142857)","(4.2, 4.5, 4.076923076923077)","(5.0, 6.4, 5.85)","(8.5, 11.0, 10.28)"
