,Akina Crusader,Dr Cinny,Myall Sparrow,Dr Whitlee,Early Boy,Dr Audrey,Rapidfire Serena
11-01-2023 18:05:28.428705,"(2.1, 3.65, 2.0348837209302326)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 210.0, 43.75)","(2.8, 7.2, 2.7826666666666666)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:29.659789,"(2.1, 3.5, 2.0348837209302326)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.6, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:30.976197,"(2.1, 3.5, 2.0348837209302326)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:32.359235,"(2.1, 3.5, 2.0348837209302326)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:33.670903,"(2.1, 3.5, 2.0348837209302326)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:34.857608,"(2.1, 3.5, 2.0348837209302326)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:36.119055,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:37.495916,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:38.874510,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:40.269403,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:41.318129,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
11-01-2023 18:05:42.450495,"(2.1, 3.45, 2.161111111111111)","(13.0, 30.0, 27.6875)","(5.0, 12.0, 10.521428571428572)","(18.0, 55.0, 43.75)","(2.8, 4.5, 2.9425000000000003)","(13.0, 30.0, 28.97222222222222)","(11.0, 27.0, 25.583333333333336)"
