,Set Us Free,Inordinate,Rebel Racer,Dixie Built,Hollerween,Turin,Black Banjo,Manhattan Sting,Fabiola,Hesontherun,Delightful Hustler,Anything But
10-01-2023 14:49:26.570566,"(14.0, 19.0, 18.76923076923077)","(3.7, 4.7, 4.684615384615385)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 7.8352941176470585)","(3.9, 4.5, 4.4161016949152545)","(41.0, 44.0, 42.8)","(101.0, 150.0, 130.0)","(10.0, 12.0, 11.76923076923077)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.023255813953487)","(101.0, 230.0, 207.69230769230768)"
10-01-2023 14:49:27.834649,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.684615384615385)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 7.92)","(3.9, 4.5, 4.4161016949152545)","(41.0, 44.0, 42.8)","(101.0, 150.0, 130.0)","(10.0, 12.0, 11.565217391304348)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.023255813953487)","(101.0, 220.0, 204.16666666666666)"
10-01-2023 14:49:29.192132,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.684615384615385)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 7.92)","(3.9, 4.5, 4.4161016949152545)","(41.0, 44.0, 42.8)","(101.0, 150.0, 130.0)","(10.0, 12.0, 11.375)","(14.0, 21.0, 19.2)","(21.0, 30.0, 29.023255813953487)","(101.0, 210.0, 204.16666666666666)"
10-01-2023 14:49:30.532855,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.684615384615385)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 7.8)","(3.9, 4.5, 4.4161016949152545)","(41.0, 44.0, 43.63636363636364)","(101.0, 150.0, 130.0)","(10.0, 12.0, 11.1875)","(14.0, 21.0, 19.2)","(21.0, 30.0, 28.32)","(101.0, 210.0, 204.16666666666666)"
10-01-2023 14:49:31.890602,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.6000000000000005)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.016)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 43.63636363636364)","(101.0, 150.0, 130.0)","(10.0, 12.0, 11.1875)","(14.0, 21.0, 19.2)","(21.0, 30.0, 27.166666666666668)","(101.0, 210.0, 204.16666666666666)"
10-01-2023 14:49:33.220254,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.6000000000000005)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.072727272727272)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 43.63636363636364)","(101.0, 150.0, 130.0)","(10.0, 12.0, 11.1875)","(14.0, 21.0, 19.2)","(21.0, 28.0, 27.166666666666668)","(101.0, 210.0, 204.16666666666666)"
10-01-2023 14:49:34.721672,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.614285714285715)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.072727272727272)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 42.8)","(101.0, 150.0, 130.0)","(10.0, 12.0, 11.1875)","(14.0, 21.0, 19.2)","(21.0, 28.0, 27.166666666666668)","(101.0, 210.0, 204.6153846153846)"
10-01-2023 14:49:35.952162,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.614285714285715)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.072727272727272)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 42.8)","(101.0, 150.0, 130.0)","(10.0, 12.0, 12.284090909090908)","(14.0, 21.0, 19.2)","(21.0, 28.0, 27.0)","(101.0, 210.0, 189.41176470588235)"
10-01-2023 14:49:37.213801,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.594117647058824)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.016)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 42.8)","(101.0, 150.0, 130.0)","(10.0, 12.5, 11.75)","(14.0, 21.0, 19.2)","(21.0, 28.0, 27.0)","(101.0, 210.0, 189.41176470588235)"
10-01-2023 14:49:38.628238,"(14.0, 19.0, 18.75)","(3.7, 4.7, 4.594117647058824)","(8.5, 12.0, 11.375)","(9.0, 13.0, 11.96875)","(5.0, 8.4, 8.016)","(3.9, 4.5, 4.4161016949152545)","(31.0, 44.0, 43.63636363636364)","(101.0, 150.0, 139.16666666666666)","(10.0, 12.0, 11.75)","(14.0, 21.0, 19.2)","(21.0, 28.0, 27.0)","(101.0, 210.0, 189.41176470588235)"
