,Drop Zone,Monkey Paw,Greek Malt,Little Fred,Winlock To Rise,Purse Strings,Brockton Bomber,Chip Rock
15-12-2022 14:16:49.924081,"(5.0, 10.5, 10.066666666666666)","(1.6, 2.36, 1.8319999999999999)","(20.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.0, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:16:50.988882,"(5.0, 10.5, 10.066666666666666)","(1.6, 2.36, 1.8319999999999999)","(20.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.0, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:16:52.082626,"(5.0, 10.5, 10.066666666666666)","(1.6, 2.36, 1.7323076923076923)","(20.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.0, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:16:53.149506,"(5.0, 10.5, 10.066666666666666)","(1.6, 2.36, 1.7323076923076923)","(20.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.0, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:16:54.262618,"(5.0, 10.5, 10.066666666666666)","(1.6, 2.36, 1.7323076923076923)","(20.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.0, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:16:55.258814,"(5.0, 10.5, 10.066666666666666)","(1.6, 2.36, 1.7323076923076923)","(20.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.0, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:16:56.247092,"(5.0, 10.5, 10.066666666666666)","(1.6, 2.36, 1.7323076923076923)","(20.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.0, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:16:57.351611,"(5.0, 10.5, 10.066666666666666)","(1.6, 2.36, 1.7323076923076923)","(20.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.0, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:16:58.455079,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:16:59.773826,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:17:00.831432,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:17:01.904211,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.7323076923076923)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 42.57142857142857)","(10.0, 25.0, 12.4)"
15-12-2022 14:17:02.917533,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8575)","(21.0, 70.0, 38.0)","(41.0, 340.0, 151.0)","(8.5, 15.0, 9.72)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 38.666666666666664)","(10.0, 25.0, 12.4)"
15-12-2022 14:17:04.037611,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 65.0, 41.111111111111114)","(41.0, 340.0, 151.0)","(8.5, 15.5, 9.18888888888889)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 38.666666666666664)","(10.0, 25.0, 12.166666666666666)"
15-12-2022 14:17:05.242292,"(5.0, 10.5, 10.066666666666666)","(1.5, 2.36, 1.8319999999999999)","(21.0, 65.0, 41.111111111111114)","(41.0, 340.0, 151.0)","(8.5, 15.5, 9.18888888888889)","(6.0, 11.0, 10.581818181818182)","(21.0, 70.0, 38.666666666666664)","(10.0, 25.0, 12.166666666666666)"
