,Rosie La La,Dr Dot,Snowy Alford,Open Heaven,Galloping Moon,Sword Dancer,Young Blowy
10-01-2023 20:23:36.459694,"(2.7, 3.6, 2.689375)","(3.9, 9.2, 5.8)","(6.0, 13.0, 6.52)","(6.5, 13.0, 10.866666666666667)","(101.0, 730.0, 618.3333333333334)","(2.7, 5.7, 3.05625)","(41.0, 440.0, 265.77777777777777)"
10-01-2023 20:23:37.465223,"(2.7, 3.6, 2.689375)","(3.9, 9.2, 5.8)","(6.0, 13.0, 6.52)","(6.5, 13.0, 10.866666666666667)","(101.0, 730.0, 618.3333333333334)","(2.7, 5.7, 3.05625)","(41.0, 440.0, 265.77777777777777)"
10-01-2023 20:23:38.527196,"(2.7, 3.6, 2.689375)","(3.9, 9.2, 5.8)","(6.0, 13.0, 6.52)","(6.5, 13.0, 10.866666666666667)","(101.0, 730.0, 618.3333333333334)","(2.7, 5.7, 3.05625)","(41.0, 440.0, 265.77777777777777)"
10-01-2023 20:23:39.568468,"(2.7, 3.6, 2.689375)","(3.9, 9.2, 5.8)","(6.0, 13.0, 6.52)","(6.5, 13.0, 10.866666666666667)","(101.0, 730.0, 618.3333333333334)","(2.7, 5.7, 3.05625)","(41.0, 440.0, 265.77777777777777)"
10-01-2023 20:23:40.656594,"(2.7, 3.6, 2.689375)","(3.9, 9.2, 5.8)","(6.0, 13.0, 6.52)","(6.5, 13.0, 10.866666666666667)","(101.0, 730.0, 618.3333333333334)","(2.7, 5.7, 3.05625)","(41.0, 440.0, 265.77777777777777)"
10-01-2023 20:23:41.656965,"(2.7, 3.6, 2.689375)","(3.9, 9.2, 5.8)","(6.0, 13.0, 6.52)","(6.5, 13.0, 10.866666666666667)","(101.0, 730.0, 618.3333333333334)","(2.7, 5.7, 3.05625)","(41.0, 440.0, 265.77777777777777)"
10-01-2023 20:23:42.728723,"(2.7, 3.6, 2.689375)","(3.9, 9.2, 5.8)","(6.0, 13.0, 6.52)","(6.5, 13.0, 10.866666666666667)","(101.0, 730.0, 618.3333333333334)","(2.7, 5.7, 3.05625)","(41.0, 440.0, 265.77777777777777)"
10-01-2023 20:23:43.700577,"(2.7, 3.6, 2.689375)","(3.9, 9.2, 5.8)","(6.0, 13.0, 6.52)","(6.5, 13.0, 10.866666666666667)","(101.0, 730.0, 618.3333333333334)","(2.7, 5.7, 3.05625)","(41.0, 440.0, 265.77777777777777)"
10-01-2023 20:23:44.671550,"(2.7, 3.6, 2.689375)","(3.9, 9.2, 5.8)","(6.0, 13.0, 6.52)","(6.5, 13.0, 10.866666666666667)","(101.0, 730.0, 618.3333333333334)","(2.7, 5.7, 3.05625)","(41.0, 440.0, 265.77777777777777)"
10-01-2023 20:23:45.775333,"(2.7, 3.6, 2.689375)","(3.9, 9.2, 5.8)","(6.0, 13.0, 6.52)","(6.5, 13.0, 11.719999999999999)","(101.0, 730.0, 600.0)","(2.7, 5.7, 3.05625)","(41.0, 440.0, 198.76923076923077)"
