,Hand Break,Dana Poppie,Brutus Maximus,Venetian Fury,Saint Sofia,Damage,Takahi Chisum
0,"[datetime.datetime(2022, 11, 28, 19, 14, 41, 532420), 41.0, 490.0]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 532420), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 532420), 9.0, 21.0]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 532420), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 532420), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 532420), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 532420), 6.0, 11.0]"
1,"[datetime.datetime(2022, 11, 28, 19, 14, 42, 687201), 41.0, 490.0]","[datetime.datetime(2022, 11, 28, 19, 14, 42, 687201), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 14, 42, 687201), 9.0, 21.0]","[datetime.datetime(2022, 11, 28, 19, 14, 42, 687201), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 19, 14, 42, 687201), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 14, 42, 687201), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 19, 14, 42, 687201), 6.0, 11.0]"
2,"[datetime.datetime(2022, 11, 28, 19, 14, 43, 827322), 41.0, 490.0]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 827322), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 827322), 9.0, 21.0]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 827322), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 827322), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 827322), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 827322), 6.0, 11.0]"
3,"[datetime.datetime(2022, 11, 28, 19, 14, 44, 978062), 41.0, 490.0]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 978062), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 978062), 9.0, 21.0]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 978062), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 978062), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 978062), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 978062), 6.0, 11.0]"
4,"[datetime.datetime(2022, 11, 28, 19, 14, 46, 123307), 41.0, 490.0]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 123307), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 123307), 9.0, 21.0]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 123307), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 123307), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 123307), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 123307), 6.0, 11.0]"
5,"[datetime.datetime(2022, 11, 28, 19, 14, 47, 262834), 41.0, 490.0]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 262834), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 262834), 9.0, 21.0]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 262834), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 262834), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 262834), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 262834), 6.0, 11.0]"
6,"[datetime.datetime(2022, 11, 28, 19, 14, 48, 414922), 41.0, 490.0]","[datetime.datetime(2022, 11, 28, 19, 14, 48, 414922), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 14, 48, 414922), 9.0, 21.0]","[datetime.datetime(2022, 11, 28, 19, 14, 48, 414922), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 19, 14, 48, 414922), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 14, 48, 414922), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 19, 14, 48, 414922), 6.0, 11.0]"
7,"[datetime.datetime(2022, 11, 28, 19, 14, 49, 571430), 41.0, 490.0]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 571430), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 571430), 9.0, 21.0]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 571430), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 571430), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 571430), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 571430), 6.0, 11.0]"
8,"[datetime.datetime(2022, 11, 28, 19, 14, 50, 735744), 41.0, 490.0]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 735744), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 735744), 9.0, 21.0]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 735744), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 735744), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 735744), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 735744), 6.0, 11.0]"
9,"[datetime.datetime(2022, 11, 28, 19, 14, 51, 898736), 41.0, 490.0]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 898736), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 898736), 9.0, 21.0]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 898736), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 898736), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 898736), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 898736), 6.0, 11.0]"
10,"[datetime.datetime(2022, 11, 28, 19, 14, 53, 62370), 41.0, 490.0]","[datetime.datetime(2022, 11, 28, 19, 14, 53, 62370), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 14, 53, 62370), 9.0, 21.0]","[datetime.datetime(2022, 11, 28, 19, 14, 53, 62370), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 19, 14, 53, 62370), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 14, 53, 62370), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 19, 14, 53, 62370), 6.0, 11.0]"
11,"[datetime.datetime(2022, 11, 28, 19, 14, 54, 255337), 41.0, 490.0]","[datetime.datetime(2022, 11, 28, 19, 14, 54, 255337), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 14, 54, 255337), 9.0, 21.0]","[datetime.datetime(2022, 11, 28, 19, 14, 54, 255337), 2.8, 4.0]","[datetime.datetime(2022, 11, 28, 19, 14, 54, 255337), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 19, 14, 54, 255337), 2.6, 4.1]","[datetime.datetime(2022, 11, 28, 19, 14, 54, 255337), 6.0, 11.0]"
