,Chatty Mavis,Sozins Queen,Epic Blossom,Lucky Jack,Goldstar Clover,Romeo,Homebush Thaw,Retread Pete
15-12-2022 13:46:36.234556,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:37.412089,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:38.602271,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:39.762516,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:40.836925,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:41.939345,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:43.016852,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:44.212106,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:45.310196,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:46.500329,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:47.808330,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:49.013461,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:50.231993,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:51.434180,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:52.686835,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:53.949024,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:55.160088,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:56.307053,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:57.443214,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
15-12-2022 13:46:58.576427,"(1.55, 1.94, 1.775)","(15.0, 180.0, 138.375)","(14.0, 180.0, 75.625)","(3.3, 4.2, 3.494776119402985)","(18.0, 180.0, 97.75)","(14.0, 95.0, 84.625)","(20.0, 250.0, 203.7)","(17.0, 160.0, 114.53125)"
