,Aikhal,Keyless Go,Tango And Cash,White Hart Express,Cape Wrath,Kentucky Nick,Prickley Prince,Splendid Chap,Princess Alakhai,Sassolino,Missedthedeel,Poetic Whisper
08-12-2022 13:17:23.734100,"(7.5, 7.0, 6.869696969696969)","(21.0, 48.0, 48.857142857142854)","(4.2, 4.7, 4.634375)","(26.0, 95.0, 75.0)","(101.0, 390.0, 365.0)","(3.9, 6.2, 6.327272727272727)","(41.0, 65.0, 62.0)","(3.5, 4.2, 3.9175)","(101.0, 380.0, 290.0)","(5.5, 8.6, 7.8)","(101.0, 120.0, 111.42857142857143)","(14.0, 24.0, 20.8)"
08-12-2022 13:17:25.198506,"(7.5, 7.0, 6.869696969696969)","(21.0, 50.0, 48.857142857142854)","(4.2, 4.7, 4.608333333333333)","(26.0, 95.0, 87.72727272727272)","(101.0, 390.0, 365.0)","(3.9, 6.6, 6.327272727272727)","(41.0, 65.0, 62.0)","(3.5, 4.2, 3.9175)","(101.0, 380.0, 290.0)","(5.5, 8.6, 7.8)","(101.0, 120.0, 111.42857142857143)","(14.0, 24.0, 20.8)"
08-12-2022 13:17:26.708232,"(7.5, 7.0, 6.869696969696969)","(21.0, 50.0, 48.857142857142854)","(4.2, 4.7, 4.608333333333333)","(26.0, 95.0, 86.25)","(101.0, 390.0, 365.0)","(3.9, 6.6, 6.327272727272727)","(41.0, 65.0, 62.0)","(3.5, 4.2, 3.9170731707317072)","(101.0, 380.0, 290.0)","(5.5, 8.6, 7.8)","(101.0, 120.0, 111.42857142857143)","(14.0, 24.0, 20.8)"
08-12-2022 13:17:28.170314,"(7.5, 7.0, 6.869696969696969)","(21.0, 50.0, 48.857142857142854)","(4.2, 4.7, 4.6000000000000005)","(26.0, 95.0, 86.25)","(101.0, 390.0, 365.0)","(3.9, 6.6, 6.327272727272727)","(41.0, 65.0, 62.0)","(3.5, 4.2, 3.9170731707317072)","(101.0, 380.0, 290.0)","(5.5, 8.6, 7.8)","(101.0, 120.0, 111.42857142857143)","(14.0, 24.0, 20.8)"
08-12-2022 13:17:29.671292,"(7.5, 7.0, 6.869696969696969)","(21.0, 50.0, 48.857142857142854)","(4.2, 4.7, 4.6000000000000005)","(26.0, 95.0, 87.22222222222223)","(101.0, 390.0, 365.0)","(3.9, 6.6, 6.327272727272727)","(41.0, 65.0, 62.0)","(3.5, 4.2, 3.991304347826087)","(101.0, 380.0, 290.0)","(5.5, 8.6, 7.8)","(101.0, 120.0, 111.42857142857143)","(14.0, 24.0, 21.6)"
08-12-2022 13:17:31.217672,"(7.5, 7.0, 6.869696969696969)","(21.0, 50.0, 48.857142857142854)","(4.2, 4.7, 4.4795180722891565)","(26.0, 95.0, 87.22222222222223)","(101.0, 390.0, 365.0)","(3.9, 6.6, 6.327272727272727)","(41.0, 65.0, 62.0)","(3.5, 4.2, 3.991304347826087)","(101.0, 380.0, 290.0)","(5.5, 8.6, 7.8)","(101.0, 120.0, 111.42857142857143)","(14.0, 24.0, 21.6)"
08-12-2022 13:17:32.729906,"(7.5, 7.0, 6.869696969696969)","(21.0, 50.0, 48.857142857142854)","(4.2, 4.7, 4.4795180722891565)","(26.0, 95.0, 87.22222222222223)","(101.0, 390.0, 365.0)","(3.9, 6.6, 6.327272727272727)","(41.0, 65.0, 62.0)","(3.5, 4.2, 4.010526315789473)","(101.0, 380.0, 290.0)","(5.5, 8.6, 7.8)","(101.0, 120.0, 111.42857142857143)","(14.0, 24.0, 21.6)"
08-12-2022 13:17:34.302887,"(7.5, 7.0, 6.869696969696969)","(21.0, 50.0, 48.857142857142854)","(4.2, 4.7, 4.4795180722891565)","(26.0, 95.0, 87.22222222222223)","(101.0, 390.0, 365.0)","(3.9, 6.6, 6.327272727272727)","(41.0, 65.0, 62.0)","(3.5, 4.2, 4.010526315789473)","(101.0, 380.0, 290.0)","(5.5, 8.6, 7.8)","(101.0, 120.0, 111.42857142857143)","(14.0, 24.0, 21.6)"
08-12-2022 13:17:36.037950,"(7.5, 7.0, 6.8116788321167885)","(21.0, 50.0, 49.666666666666664)","(4.2, 4.7, 4.644927536231884)","(26.0, 95.0, 107.08333333333333)","(101.0, 390.0, 365.0)","(3.9, 6.6, 6.327272727272727)","(41.0, 65.0, 52.54545454545455)","(3.5, 4.2, 3.966666666666667)","(101.0, 380.0, 290.0)","(5.5, 8.6, 7.709090909090909)","(101.0, 120.0, 154.0)","(14.0, 24.0, 22.545454545454547)"
08-12-2022 13:17:37.590535,"(6.5, 7.0, 6.8116788321167885)","(21.0, 50.0, 49.666666666666664)","(4.2, 4.7, 4.644927536231884)","(31.0, 110.0, 107.08333333333333)","(101.0, 390.0, 365.0)","(4.0, 6.6, 6.327272727272727)","(41.0, 70.0, 52.54545454545455)","(3.6, 4.0, 3.966666666666667)","(101.0, 380.0, 290.0)","(5.5, 8.2, 7.709090909090909)","(101.0, 160.0, 154.0)","(14.0, 24.0, 22.545454545454547)"
08-12-2022 13:17:39.317867,"(6.5, 7.0, 6.8116788321167885)","(21.0, 50.0, 49.666666666666664)","(4.2, 4.7, 4.644927536231884)","(31.0, 100.0, 90.0)","(101.0, 390.0, 365.0)","(4.0, 6.6, 6.327272727272727)","(41.0, 70.0, 50.44444444444444)","(3.6, 4.0, 3.966666666666667)","(101.0, 380.0, 290.0)","(5.5, 8.2, 7.709090909090909)","(101.0, 150.0, 130.0)","(14.0, 24.0, 22.545454545454547)"
08-12-2022 13:17:40.809767,"(6.5, 7.0, 6.828070175438596)","(21.0, 50.0, 49.666666666666664)","(4.2, 4.7, 4.644927536231884)","(31.0, 100.0, 90.0)","(101.0, 390.0, 365.0)","(4.0, 6.6, 6.327272727272727)","(41.0, 70.0, 50.44444444444444)","(3.6, 4.0, 3.966666666666667)","(101.0, 380.0, 320.0)","(5.5, 8.2, 7.685714285714286)","(101.0, 150.0, 130.0)","(14.0, 24.0, 22.545454545454547)"
08-12-2022 13:17:42.329570,"(6.5, 7.0, 6.828070175438596)","(21.0, 50.0, 49.666666666666664)","(4.2, 4.7, 4.644927536231884)","(31.0, 110.0, 96.36363636363636)","(101.0, 390.0, 365.0)","(4.0, 6.6, 6.327272727272727)","(41.0, 70.0, 50.44444444444444)","(3.6, 4.0, 3.966666666666667)","(101.0, 380.0, 350.0)","(5.5, 8.2, 7.685714285714286)","(101.0, 150.0, 130.0)","(14.0, 24.0, 22.545454545454547)"
08-12-2022 13:17:43.902187,"(6.5, 7.0, 6.828070175438596)","(21.0, 50.0, 49.666666666666664)","(4.2, 4.7, 4.644927536231884)","(31.0, 110.0, 105.71428571428572)","(101.0, 390.0, 365.0)","(4.0, 6.6, 6.24)","(41.0, 70.0, 50.44444444444444)","(3.6, 4.0, 3.966666666666667)","(101.0, 380.0, 295.0)","(5.5, 8.2, 7.685714285714286)","(101.0, 150.0, 130.0)","(14.0, 24.0, 22.545454545454547)"
08-12-2022 13:17:45.427876,"(6.5, 7.0, 6.8307692307692305)","(21.0, 50.0, 49.666666666666664)","(4.2, 4.7, 4.654940711462451)","(31.0, 110.0, 105.71428571428572)","(101.0, 390.0, 365.0)","(4.0, 6.6, 6.24)","(41.0, 70.0, 50.44444444444444)","(3.6, 4.0, 3.966666666666667)","(101.0, 380.0, 295.0)","(5.5, 8.2, 7.685714285714286)","(101.0, 150.0, 130.0)","(14.0, 24.0, 22.545454545454547)"
