,Deluxe Legend,Exlover,Tupelawara,Regal Conqueror,Warrioress,Crazy Eyed Fred,Super Art,Good Girl
08-01-2023 12:28:52.947791,"(9.0, 10.0, 9.875)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.946764705882353)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:28:54.180567,"(9.0, 10.0, 9.6)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.946764705882353)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:28:55.454499,"(9.0, 10.0, 9.6)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.946764705882353)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:28:56.581107,"(9.0, 10.0, 9.6)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.946764705882353)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:28:57.610661,"(9.0, 10.0, 9.6)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.946764705882353)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:28:58.680333,"(9.0, 10.0, 9.6)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.946764705882353)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:28:59.761783,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.946764705882353)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:00.836224,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.946764705882353)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:01.973808,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.946764705882353)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
08-01-2023 12:29:03.128204,"(9.0, 10.0, 9.9)","(31.0, 65.0, 60.166666666666664)","(3.5, 7.0, 6.1875)","(14.0, 17.0, 15.333333333333334)","(1.7, 1.96, 1.946764705882353)","(101.0, 210.0, 160.0)","(51.0, 55.0, 52.83333333333333)","(5.5, 8.4, 8.133333333333333)"
