,Mary Austin Nz,Plains In Heaven,Emer,Direct Command Nz,Carramar Solomona,Machane Said,Puzzle Piece
07-12-2022 18:38:00.342703,"(41.0, 99999, 99990)","(21.0, 38.0, 30.0)","(4.2, 5.7, 5.55)","(10.0, 99999, 99990)","(2.6, 3.55, 3.3833333333333333)","(3.5, 3.8, 3.675)","(4.8, 7.2, 6.779999999999999)"
07-12-2022 18:38:01.342957,"(41.0, 99999, 99990)","(21.0, 38.0, 31.0)","(4.2, 5.7, 5.55)","(10.0, 99999, 99990)","(2.6, 3.55, 3.3833333333333333)","(3.5, 3.8, 3.675)","(4.8, 7.2, 6.779999999999999)"
07-12-2022 18:38:02.291726,"(41.0, 99999, 99990)","(21.0, 38.0, 29.333333333333332)","(4.2, 5.7, 5.55)","(10.0, 99999, 99990)","(2.6, 3.55, 3.3833333333333333)","(3.5, 3.85, 3.6566666666666667)","(4.8, 7.2, 6.779999999999999)"
07-12-2022 18:38:03.542524,"(41.0, 99999, 99990)","(21.0, 38.0, 32.0)","(4.2, 5.7, 5.55)","(10.0, 99999, 99990)","(2.6, 3.55, 3.3833333333333333)","(3.5, 3.85, 3.6333333333333333)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:04.555431,"(41.0, 99999, 99990)","(21.0, 38.0, 32.46153846153846)","(4.2, 5.7, 5.5200000000000005)","(10.0, 99999, 99990)","(2.6, 3.55, 3.4115384615384614)","(3.5, 3.8, 3.6333333333333333)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:05.502885,"(41.0, 99999, 99990)","(21.0, 38.0, 30.666666666666668)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.7, 3.507142857142857)","(3.5, 3.8, 3.7268292682926827)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:06.445333,"(41.0, 99999, 99990)","(21.0, 38.0, 30.666666666666668)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.8, 3.65)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:07.348906,"(41.0, 99999, 99990)","(21.0, 38.0, 30.666666666666668)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.8, 3.65)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:08.246555,"(41.0, 99999, 99990)","(21.0, 38.0, 30.666666666666668)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.8, 3.65)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:09.322640,"(41.0, 99999, 99990)","(21.0, 38.0, 30.666666666666668)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.75, 3.611111111111111)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:10.275136,"(41.0, 99999, 99990)","(21.0, 38.0, 30.666666666666668)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.75, 3.576923076923077)","(4.8, 7.2, 6.92)"
07-12-2022 18:38:11.343225,"(41.0, 99999, 99990)","(21.0, 38.0, 30.666666666666668)","(4.2, 5.7, 5.5875)","(10.0, 99999, 99990)","(2.6, 3.65, 3.55625)","(3.5, 3.75, 3.5555555555555554)","(4.8, 7.2, 6.92)"
