,Loui,Our Princess Kennedy Nz,Freddy Singh,Smooth Overarm Nz,Mighty Joe,Pippo Nien,Oursouthernstar,Mach Daddy,Eagle Commander,Bertie Jones Nz
14-12-2022 19:00:06.707543,"(3.0, 6.6, 4.675)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:08.713422,"(3.0, 6.6, 4.675)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:10.352990,"(3.0, 6.6, 4.675)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:12.023554,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:13.715956,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:15.405283,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:17.190838,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:18.856701,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:20.515043,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
14-12-2022 19:00:22.240181,"(3.0, 6.4, 5.38)","(41.0, 99999, 99990)","(19.0, 50.0, 29.291666666666668)","(4.6, 99999, 99990)","(13.0, 28.0, 17.333333333333332)","(26.0, 75.0, 38.6)","(12.0, 27.0, 21.833333333333336)","(11.0, 21.0, 14.0)","(5.0, 10.5, 8.928571428571429)","(4.8, 99999, 99990)"
