,Darby Valley,Jakes A Rake,Talk It Up,Lizard,Kooringa Jack,Cool Red,Chicago Merc,Colonel Angus
08-12-2022 12:56:08.418056,"(4.4, 8.8, 5.246666666666667)","(61.0, 570.0, 377.6923076923077)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.050000000000001)","(2.25, 2.94, 2.556)","(3.9, 4.1, 4.0055)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:09.661838,"(4.4, 8.8, 5.246666666666667)","(61.0, 570.0, 426.3636363636364)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.050000000000001)","(2.25, 2.94, 2.556)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:10.868874,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 426.3636363636364)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.050000000000001)","(2.25, 2.94, 2.556)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:12.202314,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 426.3636363636364)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.44)","(2.25, 2.94, 2.437777777777778)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:13.546284,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 426.3636363636364)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.44)","(2.25, 2.92, 2.437777777777778)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:14.973137,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 426.3636363636364)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 7.050000000000001)","(2.25, 2.92, 2.437777777777778)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:16.326383,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 426.3636363636364)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.022222222222222)","(2.25, 2.92, 2.437777777777778)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:17.691775,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 426.3636363636364)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.92, 2.437777777777778)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:18.974370,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 426.3636363636364)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.92, 2.437777777777778)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:20.194809,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 426.3636363636364)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.92, 2.54)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:21.388811,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 344.2857142857143)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.9, 2.54)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:22.636290,"(4.4, 8.8, 5.246666666666667)","(61.0, 550.0, 326.0)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.9, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:23.926486,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:25.255567,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:26.675080,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
08-12-2022 12:56:28.068274,"(4.4, 8.8, 5.246666666666667)","(61.0, 560.0, 331.3333333333333)","(11.0, 24.0, 16.666666666666668)","(5.5, 8.8, 8.163636363636364)","(2.25, 2.88, 2.428888888888889)","(3.9, 4.1, 4.034090909090909)","(26.0, 180.0, 99.0)","(21.0, 70.0, 45.5)"
