,Mount Tate,Just Ellie,Licorice,Bali Lava,Fair Call,Firkin,Skedaddle Amber
09-01-2023 18:38:16.636593,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:17.867226,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:19.092559,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:20.491532,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:21.782675,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:23.120539,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:24.507756,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:25.853802,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:27.157388,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:28.408266,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:29.916744,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:31.253576,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:32.820552,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:34.162401,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:35.445417,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:36.854641,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 5.11578947368421)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:38.117795,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:39.309912,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:40.506532,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:41.780700,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:42.931128,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:44.129203,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:45.467901,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:46.749691,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:47.962672,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
09-01-2023 18:38:49.294264,"(16.0, 40.0, 25.333333333333332)","(6.5, 13.0, 10.62962962962963)","(26.0, 110.0, 51.411764705882355)","(1.45, 2.0, 1.8571428571428572)","(4.0, 7.8, 6.032142857142857)","(21.0, 75.0, 38.63636363636364)","(19.0, 50.0, 30.0)"
