,Farmor Admission,Devils Sister,Velocity Carly,Bentley Boom,La Folie,Frosty Feet,Three Putt Par,Hes Blazing
09-01-2023 10:48:48.262945,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:48:49.359977,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:48:50.411930,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:48:51.530074,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:48:52.634175,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:48:53.688876,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:48:54.783644,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:48:55.916775,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:48:57.028154,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
09-01-2023 10:48:58.147836,"(2.5, 4.0, 3.4299999999999997)","(51.0, 470.0, 282.44444444444446)","(2.6, 4.9, 3.6866666666666665)","(4.8, 9.4, 4.942857142857142)","(5.5, 10.5, 5.330769230769231)","(21.0, 85.0, 70.7608695652174)","(21.0, 70.0, 41.66666666666667)","(21.0, 85.0, 52.25)"
