,Neretva,Wolff Boss,Zumikon,Friscos Image,Spending My Time,Brave Enough,Hamilton Hill,Princess Bojack
07-01-2023 13:17:53.484942,"(26.0, 50.0, 47.5)","(3.9, 4.9, 4.7620689655172415)","(5.5, 9.8, 9.246153846153847)","(61.0, 90.0, 76.66666666666667)","(16.0, 19.5, 18.5)","(13.0, 36.0, 32.0)","(4.0, 4.9, 4.84)","(2.6, 3.15, 3.0375)"
07-01-2023 13:17:54.826353,"(26.0, 50.0, 47.5)","(3.9, 4.9, 4.7620689655172415)","(5.5, 9.8, 9.246153846153847)","(61.0, 90.0, 76.66666666666667)","(16.0, 19.5, 18.5)","(13.0, 36.0, 32.0)","(4.0, 4.9, 4.84)","(2.6, 3.15, 3.0375)"
07-01-2023 13:17:56.018166,"(26.0, 50.0, 47.5)","(3.9, 4.9, 4.7620689655172415)","(5.5, 9.8, 9.246153846153847)","(61.0, 90.0, 76.66666666666667)","(16.0, 19.5, 18.5)","(13.0, 36.0, 32.0)","(4.0, 4.9, 4.84)","(2.6, 3.15, 3.0375)"
07-01-2023 13:17:57.139215,"(26.0, 50.0, 47.5)","(3.9, 4.9, 4.7620689655172415)","(5.5, 9.8, 9.246153846153847)","(61.0, 90.0, 76.66666666666667)","(16.0, 19.5, 18.5)","(13.0, 36.0, 32.0)","(4.0, 4.9, 4.84)","(2.6, 3.15, 3.0428571428571427)"
07-01-2023 13:17:58.326425,"(26.0, 50.0, 47.5)","(3.9, 4.9, 4.7620689655172415)","(5.5, 9.8, 9.246153846153847)","(61.0, 90.0, 76.66666666666667)","(16.0, 19.5, 18.5)","(13.0, 36.0, 32.0)","(4.0, 4.9, 4.84)","(2.6, 3.15, 3.0428571428571427)"
07-01-2023 13:17:59.560459,"(26.0, 50.0, 47.5)","(3.9, 4.9, 4.7620689655172415)","(5.5, 9.8, 9.246153846153847)","(61.0, 90.0, 76.66666666666667)","(16.0, 19.5, 18.5)","(13.0, 36.0, 34.0)","(4.0, 4.9, 4.84)","(2.6, 3.15, 3.0733333333333333)"
07-01-2023 13:18:00.829438,"(26.0, 50.0, 47.5)","(3.9, 4.9, 4.7620689655172415)","(5.5, 9.8, 9.266666666666667)","(61.0, 90.0, 76.66666666666667)","(16.0, 19.5, 18.5)","(13.0, 36.0, 34.0)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:02.207464,"(26.0, 50.0, 47.5)","(3.9, 4.9, 4.7620689655172415)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 76.66666666666667)","(16.0, 19.5, 18.38888888888889)","(13.0, 36.0, 34.0)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:03.472799,"(26.0, 50.0, 47.5)","(3.9, 4.9, 4.7620689655172415)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 75.0)","(16.0, 19.5, 17.9)","(13.0, 36.0, 34.0)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
07-01-2023 13:18:04.632999,"(26.0, 48.0, 45.75)","(3.9, 4.9, 4.7620689655172415)","(5.5, 9.8, 9.492307692307692)","(61.0, 90.0, 75.0)","(16.0, 19.5, 17.9)","(13.0, 36.0, 34.0)","(4.0, 4.9, 4.84)","(2.6, 3.1, 3.0446153846153847)"
