,Magic Tale,Mine Master,Alvin Rose,Casino Rose,Psychotic Babe,Sort Of Sublime,Wickham
11-01-2023 12:25:01.707696,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:02.960418,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:04.445638,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:05.569609,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:07.029498,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:08.205843,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:09.380317,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:10.506388,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:11.594619,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:12.561155,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:13.669494,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:14.748988,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:15.959960,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:17.215346,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:18.373161,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:19.528046,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:20.715646,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:21.783378,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:22.803436,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:23.854830,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:24.934360,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:26.110363,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:27.257495,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:28.424269,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:29.589101,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:30.696394,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:31.779549,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:32.909955,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:33.865288,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:34.882644,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:35.889780,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:36.789955,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:37.818866,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:38.870986,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:39.897839,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:40.936688,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
11-01-2023 12:25:41.845389,"(2.25, 99998, 9998.5)","(10.0, 99998, 9998.5)","(3.5, 99998, 9998.5)","(26.0, 99998, 9998.5)","(3.1, 99998, 9998.5)","(17.0, 99998, 9998.5)","(26.0, 99998, 9998.5)"
