,Nana Jann,Black Edition,Enraged,Prince Pulpogan,Renegade Ruslie,Dundee Fidget,Nash Bale,War Knee
15-12-2022 14:58:49.352073,"(21.0, 95.0, 66.92307692307692)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 95.0, 66.92307692307692)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:58:50.602217,"(21.0, 95.0, 58.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:58:51.926702,"(21.0, 95.0, 58.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:58:53.346699,"(21.0, 95.0, 58.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:58:54.679766,"(21.0, 95.0, 58.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:58:56.432971,"(21.0, 95.0, 58.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:58:57.848961,"(21.0, 95.0, 58.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:58:59.256938,"(21.0, 95.0, 58.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:00.542220,"(21.0, 95.0, 58.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:01.646271,"(21.0, 95.0, 58.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:02.854078,"(21.0, 95.0, 58.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 95.0, 58.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:04.066939,"(21.0, 95.0, 58.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 95.0, 63.84615384615385)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:05.327612,"(21.0, 90.0, 63.84615384615385)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 63.84615384615385)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:06.611684,"(21.0, 90.0, 63.84615384615385)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 63.84615384615385)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:08.341941,"(21.0, 90.0, 63.84615384615385)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 63.84615384615385)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:09.725171,"(21.0, 90.0, 63.84615384615385)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:11.044325,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:12.371614,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:13.678941,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:15.026925,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:16.259438,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:17.523228,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:18.952988,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:20.421978,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:21.571430,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:22.689732,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:23.891788,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:25.191519,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:26.406386,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:27.586002,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:28.792608,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:29.866055,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:30.969096,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:32.098291,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:33.235571,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 56.0)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:34.428499,"(21.0, 90.0, 56.0)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 90.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:35.575708,"(21.0, 85.0, 60.76923076923077)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:36.832894,"(21.0, 85.0, 60.76923076923077)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:38.089601,"(21.0, 85.0, 60.76923076923077)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:39.353361,"(21.0, 85.0, 53.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:40.645960,"(21.0, 85.0, 53.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:41.779441,"(21.0, 85.0, 53.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:42.917587,"(21.0, 85.0, 53.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:43.971077,"(21.0, 85.0, 53.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:45.029646,"(21.0, 85.0, 53.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:46.208621,"(21.0, 85.0, 53.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:47.421323,"(21.0, 85.0, 53.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:48.703127,"(21.0, 85.0, 53.5)","(8.0, 20.0, 17.05)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 13.11111111111111)","(1.85, 2.1, 1.8636363636363638)"
15-12-2022 14:59:49.877497,"(21.0, 85.0, 53.5)","(8.0, 20.0, 15.895652173913042)","(12.0, 30.0, 17.666666666666664)","(8.0, 16.0, 14.74)","(21.0, 85.0, 53.5)","(4.2, 7.2, 6.2857142857142865)","(8.5, 19.0, 14.923076923076923)","(1.85, 2.1, 1.8636363636363638)"
