,Mad Martigan,Ravioli,Active Opal,Queen Zeus,Black Daniels,Corporal Trigger,Sister Two
08-01-2023 17:14:06.921473,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:08.075626,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:09.213389,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:10.321920,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:11.459151,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:12.575970,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:13.692817,"(31.0, 220.0, 126.0)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:14.767560,"(31.0, 220.0, 100.625)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:15.870840,"(31.0, 220.0, 100.625)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:17.023250,"(31.0, 220.0, 100.625)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:18.083262,"(31.0, 220.0, 100.625)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:19.204306,"(31.0, 220.0, 100.625)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
08-01-2023 17:14:20.349464,"(31.0, 220.0, 114.44444444444444)","(3.0, 4.0, 3.065)","(3.8, 6.6, 5.025)","(11.0, 24.0, 23.0)","(3.6, 4.8, 3.5638888888888887)","(11.0, 24.0, 18.0)","(4.8, 8.8, 4.88)"
