,Sharkattack,Ace Duigan,Shez Elite,Keayang Alex,Go George Go,Iamawingate,Salsboy,Classically Smooth,Blue Cannon,Our Miki Diva Nz,Kyloan Queen,Lavender Dolly
12-01-2023 17:13:51.299007,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:13:52.921050,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:13:54.924064,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:13:56.324957,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:13:57.829900,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:13:59.281879,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:00.911795,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:02.403498,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:03.674567,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
12-01-2023 17:14:04.983669,"(3.7, 5.1, 4.3)","(14.0, 30.0, 18.857142857142858)","(21.0, 46.0, 34.46153846153846)","(18.0, 34.0, 18.142857142857142)","(81.0, 210.0, 135.0)","(14.0, 27.0, 20.181818181818183)","(21.0, 46.0, 24.571428571428573)","(3.9, 5.9, 5.333333333333334)","(3.1, 3.9, 3.6493333333333333)","(16.0, 99999, 99990)","(26.0, 48.0, 31.333333333333336)","(18.0, 32.0, 26.666666666666664)"
