,Choose Well,Magic Ale,Magic Secret,Jet Set Jack,Amber Jack,Bokarm Donna,Fan Cool Unit,Brunello
12-01-2023 11:18:58.670449,"(2.1, 2.7, 2.185714285714286)","(12.0, 28.0, 18.666666666666668)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:18:59.834025,"(2.1, 2.7, 2.185714285714286)","(12.0, 28.0, 18.666666666666668)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:00.881875,"(2.1, 2.7, 2.185714285714286)","(12.0, 28.0, 18.666666666666668)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:01.919531,"(2.1, 2.7, 2.185714285714286)","(12.0, 28.0, 18.666666666666668)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 75.05263157894737)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:03.018209,"(2.1, 2.7, 2.185714285714286)","(12.0, 28.0, 18.666666666666668)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 110.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:04.123242,"(2.1, 2.7, 2.185714285714286)","(12.0, 28.0, 18.666666666666668)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:05.209026,"(2.1, 2.7, 2.185714285714286)","(12.0, 28.0, 18.666666666666668)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:06.352502,"(2.1, 2.7, 2.185714285714286)","(12.0, 28.0, 18.666666666666668)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:07.458080,"(2.1, 2.7, 2.185714285714286)","(12.0, 28.0, 22.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
12-01-2023 11:19:08.509220,"(2.1, 2.7, 2.185714285714286)","(12.0, 29.0, 19.0)","(2.8, 3.2, 3.08)","(4.2, 7.2, 5.95)","(21.0, 60.0, 54.85714285714286)","(31.0, 100.0, 69.26315789473685)","(26.0, 250.0, 123.71428571428572)","(31.0, 220.0, 94.0)"
