,Im Riddler,Colorado Banner Nz,Radiant Bay,Ryleeorielly,Classnsmart,Sunpatra,Miss Stefani,The Dark Night,Roll Em
11-01-2023 17:43:23.573199,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:24.664367,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:25.841230,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:27.027133,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:28.165813,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:29.364442,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:30.411694,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:31.625253,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:32.788353,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
11-01-2023 17:43:33.901080,"(101.0, 190.0, 160.0)","(2.0, 99999, 99990)","(21.0, 46.0, 27.666666666666664)","(61.0, 170.0, 103.33333333333334)","(81.0, 220.0, 105.33333333333334)","(4.0, 5.9, 5.085714285714285)","(8.0, 11.5, 9.82857142857143)","(31.0, 85.0, 49.66666666666667)","(3.2, 4.5, 3.8000000000000003)"
